family,family_size,contrast,effect_pp,ci95_lo,ci95_hi,p_raw,p_holm,significant_holm,correction
PF1 zero-drift loss avoidance @2000,18,ps_zero: atc-2000 vs naive-2000,-0.0531,-0.2836,0.1544,0.6298637013629864,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: atc-2000 vs naive-2000,0.0146,-0.0901,0.1263,0.7900320996790032,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: atc-2000 vs naive-2000,-0.0568,-0.3151,0.174,0.6519234807651924,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ps_zero: doc-2000 vs naive-2000,-0.0727,-0.2932,0.1159,0.4832251677483225,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: doc-2000 vs naive-2000,0.0609,-0.0581,0.1911,0.3347766522334777,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: doc-2000 vs naive-2000,-0.0232,-0.2945,0.2245,0.8604313956860431,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ps_zero: enscal-2000 vs naive-2000,0.725,0.5299,0.9047,9.99990000099999e-06,0.00017999820001799984,True,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: enscal-2000 vs naive-2000,0.5578,0.4479,0.6844,9.99990000099999e-06,0.00017999820001799984,True,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: enscal-2000 vs naive-2000,-0.0102,-0.257,0.2266,0.9352406475935241,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ps_zero: replay-2000 vs naive-2000,-0.0792,-0.2445,0.0763,0.3359666403335967,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: replay-2000 vs naive-2000,0.1313,-0.0042,0.2786,0.07008929910700892,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: replay-2000 vs naive-2000,0.082,-0.2654,0.4779,0.6638133618663813,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ps_zero: ddm-2000 vs naive-2000,0.1188,-0.1471,0.4013,0.3981060189398106,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: ddm-2000 vs naive-2000,0.0318,-0.1,0.1693,0.6458435415645843,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: ddm-2000 vs naive-2000,0.2688,-0.1219,0.7029,0.2027479725202748,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ps_zero: adwin-2000 vs naive-2000,0.3029,-0.1482,0.8461,0.22627773722262778,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: adwin-2000 vs naive-2000,0.063,-0.0878,0.2161,0.4172958270417296,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: adwin-2000 vs naive-2000,-0.0023,-0.3461,0.356,0.990170098299017,1.0,False,Holm FWER
PF2 full-drift benefit retention @2000,18,ps_full: atc-2000 vs naive-2000,-1.5435,-2.7573,-0.5833,0.008099919000809992,0.08069919300806992,False,Holm FWER
