family,scenario,contrast,effect_pp,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_raw,p_ttest,p_wilcoxon,n_seeds,p_method
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: atc-2000 vs naive-2000,-0.0531,-0.2836,0.1544,-0.2438,0.1237,0.6298637013629864,0.6423300395551166,0.6651926007678552,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: atc-2000 vs naive-2000,0.0146,-0.0901,0.1263,-0.0732,0.1073,0.7900320996790032,0.7957268453175359,0.9142678761160647,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: atc-2000 vs naive-2000,-0.0568,-0.3151,0.174,-0.2706,0.1401,0.6519234807651924,0.6591249415667587,0.18235735545332388,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ps_full,ps_full: atc-2000 vs naive-2000,-1.5435,-2.7573,-0.5833,-2.5346,-0.6997,0.008099919000809992,0.011329996405815201,0.03966239366456997,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: atc-2000 vs naive-2000,-0.3094,-0.556,-0.0602,-0.5154,-0.1016,0.014589854101458985,0.022297238377415225,0.016395071849192262,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ton_full,ton_full: atc-2000 vs naive-2000,-0.2154,-0.4372,-0.0518,-0.3948,-0.0677,0.027769722302776974,0.04293584201151476,0.00764908205529392,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: doc-2000 vs naive-2000,-0.0727,-0.2932,0.1159,-0.2531,0.0883,0.4832251677483225,0.49844438910480215,0.8008241109070088,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: doc-2000 vs naive-2000,0.0609,-0.0581,0.1911,-0.0388,0.1693,0.3347766522334777,0.3523761645091496,0.2746866562464,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: doc-2000 vs naive-2000,-0.0232,-0.2945,0.2245,-0.2484,0.1883,0.8604313956860431,0.8649961806527384,0.40908731422135114,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ps_full,ps_full: doc-2000 vs naive-2000,-2.4211,-3.8089,-1.1984,-3.5643,-1.3734,0.0006199938000619994,0.0012818121817873521,0.016871168229142062,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: doc-2000 vs naive-2000,-0.831,-1.1305,-0.5101,-1.0828,-0.5638,9.99990000099999e-06,1.5882626558559733e-05,6.0435525993233764e-05,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ton_full,ton_full: doc-2000 vs naive-2000,-0.1708,-0.3872,-0.0117,-0.3451,-0.0367,0.05866941330586694,0.09452161407116146,0.026157182329284684,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: enscal-2000 vs naive-2000,0.725,0.5299,0.9047,0.5651,0.8776,9.99990000099999e-06,3.044611492890333e-08,9.98377799987793e-07,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: enscal-2000 vs naive-2000,0.5578,0.4479,0.6844,0.4635,0.6633,9.99990000099999e-06,6.262760452803522e-10,1.7311263949197288e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: enscal-2000 vs naive-2000,-0.0102,-0.257,0.2266,-0.2174,0.1883,0.9352406475935241,0.9361448331452867,0.6652231805932128,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ps_full,ps_full: enscal-2000 vs naive-2000,-0.4294,-0.9628,-0.0419,-0.8651,-0.0867,0.061999380006199936,0.08813027800834891,0.24097616143998768,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: enscal-2000 vs naive-2000,-0.6651,-0.807,-0.5232,-0.7839,-0.5471,9.99990000099999e-06,5.60979807411815e-10,1.917328010935302e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ton_full,ton_full: enscal-2000 vs naive-2000,-0.0677,-0.2216,0.0547,-0.1948,0.0398,0.3418665813341867,0.3564309976831165,0.12402431260801595,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: replay-2000 vs naive-2000,-0.0792,-0.2445,0.0763,-0.2182,0.0521,0.3359666403335967,0.35000791871478265,0.8541683311255724,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: replay-2000 vs naive-2000,0.1313,-0.0042,0.2786,0.0156,0.2531,0.07008929910700892,0.08462455392891666,0.07855972212443378,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: replay-2000 vs naive-2000,0.082,-0.2654,0.4779,-0.2133,0.4091,0.6638133618663813,0.6741685393333645,0.4907870283083955,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ps_full,ps_full: replay-2000 vs naive-2000,-0.2086,-0.3833,-0.0299,-0.3565,-0.0589,0.02091979080209198,0.0308684807597354,0.02923084030737362,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: replay-2000 vs naive-2000,-2.5068,-2.7596,-2.2523,-2.7185,-2.2937,9.99990000099999e-06,6.714457405702548e-18,1.862645149230957e-09,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ton_full,ton_full: replay-2000 vs naive-2000,-0.2854,-0.5138,-0.1049,-0.4695,-0.1286,0.008069919300806992,0.011821764615118219,0.000913001297390621,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: ddm-2000 vs naive-2000,0.1188,-0.1471,0.4013,-0.1057,0.3544,0.3981060189398106,0.41109226384312914,0.7265856088858341,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
