arm,complete,duration_s,seeds,n_seeds,mode,adapt_size,trigger_mode,gate,source_commit,config_sha256
xvd_b1_ps_full_adwin_2000,True,79.2,8001-8030,30,run,2000,adwin_river,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_atc_2000,True,144.6,8001-8030,30,run,2000,detector,atc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_atc_512,True,121.4,8001-8030,30,run,512,detector,atc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_ddm_2000,True,112.6,8001-8030,30,run,2000,ddm_river,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_doc_2000,True,171.8,8001-8030,30,run,2000,detector,doc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_doc_512,True,130.2,8001-8030,30,run,512,detector,doc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_enscal_2000,True,162.6,8001-8030,30,run,2000,detector,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_enscal_512,True,115.4,8001-8030,30,run,512,detector,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_naive_2000,True,117.0,8001-8030,30,run,2000,detector,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_naive_512,True,96.7,8001-8030,30,run,512,detector,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_never,True,361.7,8001-8030,30,run,512,detector,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_point_2000,True,111.8,8001-8030,30,run,2000,detector,labeled_probe,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_point_512,True,96.4,8001-8030,30,run,512,detector,labeled_probe,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_replay_2000,True,124.5,8001-8030,30,run,2000,detector,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_strict_2000,True,113.4,8001-8030,30,run,2000,detector,labeled_probe,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_full_strict_512,True,97.0,8001-8030,30,run,512,detector,labeled_probe,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_adwin_2000,True,71.7,8001-8030,30,run,2000,adwin_river,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_atc_2000,True,145.7,8001-8030,30,run,2000,random,atc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_atc_512,True,104.9,8001-8030,30,run,512,random,atc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_ddm_2000,True,101.4,8001-8030,30,run,2000,ddm_river,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_doc_2000,True,142.6,8001-8030,30,run,2000,random,doc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_doc_512,True,105.4,8001-8030,30,run,512,random,doc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_enscal_2000,True,198.4,8001-8030,30,run,2000,random,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_enscal_512,True,138.2,8001-8030,30,run,512,random,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_naive_2000,True,120.5,8001-8030,30,run,2000,random,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_naive_512,True,92.2,8001-8030,30,run,512,random,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_never,True,33.2,8001-8030,30,run,512,random,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_point_2000,True,119.5,8001-8030,30,run,2000,random,labeled_probe,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_point_512,True,94.3,8001-8030,30,run,512,random,labeled_probe,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_replay_2000,True,118.7,8001-8030,30,run,2000,random,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_strict_2000,True,112.9,8001-8030,30,run,2000,random,labeled_probe,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ps_zero_strict_512,True,96.6,8001-8030,30,run,512,random,labeled_probe,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ton_full_adwin_2000,True,58.6,8001-8030,30,run,2000,adwin_river,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ton_full_atc_2000,True,105.3,8001-8030,30,run,2000,detector,atc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ton_full_atc_512,True,80.4,8001-8030,30,run,512,detector,atc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ton_full_ddm_2000,True,80.2,8001-8030,30,run,2000,ddm_river,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ton_full_doc_2000,True,106.9,8001-8030,30,run,2000,detector,doc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ton_full_doc_512,True,81.8,8001-8030,30,run,512,detector,doc,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
xvd_b1_ton_full_enscal_2000,True,119.4,8001-8030,30,run,2000,detector,none,93967ca2f1a2,bd2c0e14b6c3bae2524749160300f1aa35ab6c508ee93883964b87d634b39815
