scenario,policy,candidate_size,commits_total,commits_logged,harmful_h1,censored_h1,harmful_rate_h1,harmful_h3,censored_h3,harmful_rate_h3,harmful_h5,censored_h5,harmful_rate_h5,harmful_h10,censored_h10,harmful_rate_h10,caveat
ps_full,naive,512,81,81,31,2,0.3924,32,2,0.4051,31,2,0.3924,28,4,0.3636,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,point,512,75,75,27,2,0.3699,28,2,0.3836,28,4,0.3944,26,6,0.3768,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,strict,512,59,59,21,2,0.3684,20,3,0.3571,19,4,0.3455,16,6,0.3019,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,naive,2000,81,81,33,2,0.4177,34,2,0.4304,30,2,0.3797,30,4,0.3896,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,point,2000,80,80,32,2,0.4103,33,2,0.4231,29,3,0.3766,29,5,0.3867,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_full,strict,2000,55,55,18,1,0.3333,16,2,0.3019,15,3,0.2885,12,5,0.24,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,naive,512,61,61,15,0,0.2459,13,1,0.2167,9,1,0.15,10,3,0.1724,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,point,512,55,55,10,0,0.1818,10,1,0.1852,6,2,0.1132,5,8,0.1064,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,strict,512,39,39,7,0,0.1795,1,1,0.0263,0,1,0.0,0,2,0.0,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,naive,2000,61,61,3,0,0.0492,0,1,0.0,2,1,0.0333,1,3,0.0172,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,point,2000,60,60,3,0,0.05,0,2,0.0,2,3,0.0351,1,6,0.0185,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_full,strict,2000,49,49,3,0,0.0612,0,0,0.0,1,1,0.0208,0,4,0.0,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,naive,512,61,61,19,0,0.3115,29,0,0.4754,31,0,0.5082,32,2,0.5424,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,point,512,61,61,18,0,0.2951,28,1,0.4667,29,1,0.4833,30,4,0.5263,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,strict,512,17,17,2,0,0.1176,5,0,0.2941,3,0,0.1765,6,0,0.3529,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,naive,2000,61,61,9,0,0.1475,14,0,0.2295,20,0,0.3279,21,2,0.3559,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,point,2000,61,61,9,0,0.1475,15,0,0.2459,18,0,0.2951,20,3,0.3448,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_full,strict,2000,20,20,0,0,0.0,3,0,0.15,3,0,0.15,3,1,0.1579,"DESCRIPTIVE ONLY (protocol section 3): feeds no outcome rule; commits cluster within seed -- no independence assumed, no binomial bound derived"
