arm,complete,duration_s,seeds,n_seeds,candidate_size,nested_draw_domain,source_commit,mode,transformer_policy,config_sha256,derived_operational_from,raw_stream_hashes_sha256
xvd_b2_ps_full_naive_2000,True,132.5,7001-7030,30,2000,drift,48e6f70b659b,run,own_transformer_per_model,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,bfa7570fad45b6b5d897e198efa60f822dd5730585bfa1292f6f274500ed535e
xvd_b2_ps_full_naive_512,True,93.4,7001-7030,30,512,drift,48e6f70b659b,run,own_transformer_per_model,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,bfa7570fad45b6b5d897e198efa60f822dd5730585bfa1292f6f274500ed535e
xvd_b2_ps_full_never,True,424.1,7001-7030,30,n/a,n/a,48e6f70b659b,run,frozen_initial_transformer,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,bfa7570fad45b6b5d897e198efa60f822dd5730585bfa1292f6f274500ed535e
xvd_b2_ps_full_point_2000,True,127.4,7001-7030,30,2000,drift,48e6f70b659b,run,own_transformer_per_model,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,bfa7570fad45b6b5d897e198efa60f822dd5730585bfa1292f6f274500ed535e
xvd_b2_ps_full_point_512,True,110.5,7001-7030,30,512,drift,48e6f70b659b,run,own_transformer_per_model,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,bfa7570fad45b6b5d897e198efa60f822dd5730585bfa1292f6f274500ed535e
xvd_b2_ps_full_strict_2000,True,133.4,7001-7030,30,2000,drift,48e6f70b659b,run,own_transformer_per_model,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,bfa7570fad45b6b5d897e198efa60f822dd5730585bfa1292f6f274500ed535e
xvd_b2_ps_full_strict_512,True,108.2,7001-7030,30,512,drift,48e6f70b659b,run,own_transformer_per_model,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,bfa7570fad45b6b5d897e198efa60f822dd5730585bfa1292f6f274500ed535e
xvd_b2_ton_full_naive_2000,True,105.1,7001-7030,30,2000,drift,48e6f70b659b,run,own_transformer_per_model,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,0da3ffa54f8d58ddbe3094711b2215146cc7996796c8dd376bba5e3c20e5ced2
xvd_b2_ton_full_naive_512,True,76.2,7001-7030,30,512,drift,48e6f70b659b,run,own_transformer_per_model,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,0da3ffa54f8d58ddbe3094711b2215146cc7996796c8dd376bba5e3c20e5ced2
xvd_b2_ton_full_never,True,95.3,7001-7030,30,n/a,n/a,48e6f70b659b,run,frozen_initial_transformer,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,0da3ffa54f8d58ddbe3094711b2215146cc7996796c8dd376bba5e3c20e5ced2
xvd_b2_ton_full_point_2000,True,85.1,7001-7030,30,2000,drift,48e6f70b659b,run,own_transformer_per_model,330e73d77c017a369765927c53e84d59acac449c7c00eebdcba75d3931d4399e,configs/post_kbs_size_matched_drift_v1.json@sha256:2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,0da3ffa54f8d58ddbe3094711b2215146cc7996796c8dd376bba5e3c20e5ced2
