scenario,policy,candidate_size,ba,attack_recall,fpr,attack_f1,d_recall_vs_naive_pp,recall_onesided_lo95,d_fpr_vs_naive_pp,fpr_onesided_hi95,recall_NI_principal,recall_NI_strict,recall_NI_lax,fpr_NI_principal,fpr_NI_strict,fpr_NI_lax
ps_full,naive,512,92.19114583333331,89.82395833333334,5.441666666666667,91.82228601426685,,,,,,,,,,
ps_full,point,512,92.12578124999999,89.80833333333334,5.556770833333333,91.75656150754352,-0.0156,-0.1557,0.1151,0.1922,True,True,True,True,True,True
ps_full,strict,512,92.13385416666668,89.81718749999999,5.549479166666667,91.75855223886559,-0.0068,-0.2844,0.1078,0.2542,True,True,True,True,False,True
ps_full,naive,2000,92.71875,90.134375,4.6968749999999995,92.3517134306792,,,,,,,,,,
ps_full,point,2000,92.73802083333335,90.24322916666667,4.7671875,92.37763961940824,0.1089,0.026,0.0703,0.1391,True,True,True,True,True,True
ps_full,strict,2000,92.67734375000002,90.32812500000003,4.973437499999999,92.32272501199732,0.1937,-0.0771,0.2766,0.3698,True,True,True,True,False,True
unsw_full,naive,512,83.32630208333333,97.85520833333334,31.202604166666664,85.53556681640266,,,,,,,,,,
unsw_full,point,512,83.33463541666666,97.8375,31.168229166666674,85.54201842741527,-0.0177,-0.1417,-0.0344,0.2719,True,True,True,True,False,True
unsw_full,strict,512,83.38307291666666,97.9140625,31.14791666666667,85.58960486401155,0.0589,-0.101,-0.0547,0.4562,True,True,True,True,False,True
unsw_full,naive,2000,84.99973958333335,97.5078125,27.508333333333322,86.75578773763185,,,,,,,,,,
unsw_full,point,2000,84.95,97.55052083333334,27.650520833333324,86.72525588551288,0.0427,-0.0318,0.1422,0.4562,True,True,True,True,False,True
unsw_full,strict,2000,84.57890625,97.62239583333333,28.464583333333334,86.45669845555098,0.1146,0.0156,0.9563,1.4844,True,True,True,False,False,False
ton_full,naive,512,84.384375,97.15989583333334,28.391145833333336,86.21071080826653,,,,,,,,,,
ton_full,point,512,84.68489583333336,97.18697916666666,27.817187500000003,86.46899527120772,0.0271,0.0042,-0.574,-0.0911,True,True,True,True,True,True
ton_full,strict,512,84.55182291666667,97.22656250000001,28.12291666666667,86.3323971596069,0.0667,-0.1266,-0.2682,0.3573,True,True,True,True,False,True
ton_full,naive,2000,84.76588541666668,97.34166666666668,27.809895833333332,86.52396487490546,,,,,,,,,,
ton_full,point,2000,84.76328125,97.35000000000001,27.823437500000004,86.52284191377888,0.0083,-0.0104,0.0135,0.0255,True,True,True,True,True,True
ton_full,strict,2000,84.52421875,97.3125,28.264062500000005,86.3142223474834,-0.0292,-0.2255,0.4542,0.9714,True,True,True,False,False,True
