baseline,lambda_cost,eta_cost,gamma_cost,nuisance_mode,mean_actionable_utility_diff_qk_minus_baseline,ci95_low,ci95_high,prob_diff_gt_0,qk_better_ci95
Energy distance,0.0,0.0,0.0,total,0.01015625,-0.5654036458333332,0.6521093749999997,0.4,False
MMD-RBF,0.0,0.0,0.0,total,0.4921875,-0.16745442708333333,1.3018424479166664,0.5,False
KS-max,0.0,0.0,0.0,total,0.7609375,-0.04375,1.890130208333333,0.5,False
JSD,0.0,0.0,0.0,total,0.38333333333333336,-0.26875651041666665,1.2677213541666665,0.6,False
QK-MMD PauliXZ,0.0,0.0,0.0,total,0.63515625,-0.12395833333333334,1.593509114583333,0.5,False
Energy distance,0.0,0.0,0.01,total,-0.15562977793067698,-0.7324579632218626,0.48776928835058997,0.36666666666666664,False
MMD-RBF,0.0,0.0,0.01,total,0.36441694643461003,-0.295402019694039,1.173474059582489,0.4666666666666667,False
KS-max,0.0,0.0,0.01,total,0.5981892589678754,-0.20569834095449285,1.7270291381002405,0.4666666666666667,False
JSD,0.0,0.0,0.01,total,0.2167936524346394,-0.4356288057437933,1.1019860493908098,0.5,False
QK-MMD PauliXZ,0.0,0.0,0.01,total,0.6464875802013947,-0.11321006242846753,1.6052206450790354,0.5,False
Energy distance,0.0,0.0,0.05,total,-0.8187738896533847,-1.3986595788050276,-0.17152662232005025,0.23333333333333334,False
MMD-RBF,0.0,0.0,0.05,total,-0.1466652678269505,-0.8061730192241957,0.66326076896461,0.3333333333333333,False
KS-max,0.0,0.0,0.05,total,-0.052803705160622626,-0.8566280533368555,1.0762575800977836,0.23333333333333334,False
JSD,0.0,0.0,0.05,total,-0.44936507116013674,-1.103237984540237,0.4348411822170309,0.2,False
QK-MMD PauliXZ,0.0,0.0,0.05,total,0.6918129010069729,-0.0693705809941409,1.6512371536935335,0.5333333333333333,False
Energy distance,0.0,0.0,0.1,total,-1.6477040293067693,-2.230584549601947,-0.9983264203412789,0.13333333333333333,False
