regime,arm,n,gain,ci_lo,ci_hi,vs_naive,vsn_lo,vsn_hi,vs_lp32,vsl_lo,vsl_hi,n_triggers,n_adaptations,n_gate_rejections,n_candidates_trained,n_train_skipped,labels_probe,labels_monitor,labels_candidate
portscan,lp8,30,9.103,7.151,10.868,0.851,-0.011,2.057,-0.017,-0.162,0.118,3.57,3.1,0.47,3.57,0.0,28.53,0.0,3652.27
portscan,lp16,30,9.12,7.189,10.935,0.868,-0.002,2.112,0.0,-0.09,0.087,3.7,3.13,0.57,3.7,0.0,59.2,0.0,3788.8
portscan,lp64b,30,9.208,7.242,10.989,0.957,0.091,2.185,0.088,0.019,0.17,4.1,3.0,1.1,4.1,0.0,262.4,0.0,4198.4
portscan,lp128,30,9.202,7.311,10.977,0.951,0.076,2.177,0.082,-0.041,0.203,4.3,2.83,1.47,4.3,0.0,550.4,0.0,4403.2
portscan,lp32lat5,30,9.041,7.14,10.864,0.79,-0.141,2.036,-0.079,-0.234,0.049,4.2,2.9,1.3,4.2,0.0,134.4,0.0,4300.8
portscan,lp32lat20,30,8.655,6.816,10.39,0.403,-0.574,1.736,-0.465,-0.738,-0.224,5.13,2.57,2.57,5.13,0.0,164.27,0.0,5256.53
portscan,lp32flip10,30,8.914,7.069,10.651,0.662,-0.254,1.928,-0.206,-0.4,-0.051,4.07,2.87,1.2,4.07,0.0,130.13,0.0,4164.27
portscan,lp32flip25,30,8.682,6.767,10.413,0.43,-0.526,1.73,-0.438,-0.709,-0.196,4.23,2.73,1.5,4.23,0.0,135.47,0.0,4334.93
portscan,lp32flip40,30,8.286,6.494,9.992,0.035,-0.935,1.352,-0.834,-1.197,-0.514,4.33,2.6,1.73,4.33,0.0,138.67,0.0,4437.33
portscan,twostage,30,8.122,6.262,9.825,-0.129,-1.099,1.116,-0.998,-1.391,-0.635,6.03,1.47,4.57,1.57,4.47,257.07,0.0,1604.27
portscan,enscal_none,30,8.551,6.706,10.186,0.299,-0.441,1.28,-0.57,-1.11,-0.095,3.2,3.2,0.0,3.2,0.0,0.0,0.0,3276.8
