regime,contrast,diff,ci_lo,ci_hi
portscan,sz2000_gate_vs_naive,4.456,2.291,7.105
portscan,sz2000_naive_vs_512naive,-2.051,-4.964,0.375
portscan,rz_lcb_vs_naive,2.743,2.003,3.688
portscan,rz_mcnemar_vs_naive,2.757,2.028,3.705
portscan,rz_seqav_vs_naive,2.755,2.026,3.715
portscan,seqav_vs_lp32,-1.08,-1.378,-0.792
portscan,c8_gate_vs_naive,0.95,0.121,2.051
unsw_recon,sz2000_gate_vs_naive,0.027,-0.004,0.073
unsw_recon,sz2000_naive_vs_512naive,0.624,0.504,0.744
unsw_recon,rz_lcb_vs_naive,0.696,0.559,0.832
unsw_recon,rz_mcnemar_vs_naive,0.752,0.625,0.883
unsw_recon,rz_seqav_vs_naive,0.751,0.621,0.89
unsw_recon,seqav_vs_lp32,-0.35,-0.634,-0.069
unsw_recon,c8_gate_vs_naive,0.111,-0.095,0.363
ton_scanning,sz2000_gate_vs_naive,5.349,2.527,8.701
ton_scanning,sz2000_naive_vs_512naive,-1.005,-4.409,2.623
ton_scanning,rz_lcb_vs_naive,4.761,2.111,8.123
ton_scanning,rz_mcnemar_vs_naive,4.751,2.098,8.178
ton_scanning,rz_seqav_vs_naive,4.751,2.058,8.077
ton_scanning,seqav_vs_lp32,-0.628,-0.885,-0.372
ton_scanning,c8_gate_vs_naive,3.859,1.716,6.786
