block,regime,family,drift,contrast,diff,lo,hi,n
models,portscan,RF,mild,lp32_vs_naive,0.001,0.0,0.003,30
models,portscan,RF,zero,mcnemar_vs_naive,0.327,0.276,0.378,30
models,portscan,LogReg,mild,lp32_vs_naive,0.026,0.0,0.075,30
models,portscan,LogReg,zero,mcnemar_vs_naive,0.291,0.159,0.423,30
models,portscan,MLP,mild,lp32_vs_naive,-0.01,-0.03,0.0,30
models,portscan,MLP,zero,mcnemar_vs_naive,0.808,0.695,0.928,30
models,portscan,SVC-fulldim,mild,lp32_vs_naive,0.64,-0.113,2.034,30
models,portscan,SVC-fulldim,zero,mcnemar_vs_naive,0.895,0.467,1.532,30
models,unsw_recon,RF,mild,lp32_vs_naive,0.095,0.019,0.19,30
models,unsw_recon,RF,zero,mcnemar_vs_naive,1.06,0.921,1.205,30
models,unsw_recon,LogReg,mild,lp32_vs_naive,0.037,0.004,0.078,30
models,unsw_recon,LogReg,zero,mcnemar_vs_naive,0.08,-0.062,0.223,30
models,unsw_recon,MLP,mild,lp32_vs_naive,0.036,0.005,0.073,30
models,unsw_recon,MLP,zero,mcnemar_vs_naive,1.154,1.01,1.3,30
models,unsw_recon,SVC-fulldim,mild,lp32_vs_naive,0.183,0.032,0.399,30
models,unsw_recon,SVC-fulldim,zero,mcnemar_vs_naive,1.156,0.973,1.344,30
models,ton_scanning,RF,mild,lp32_vs_naive,-0.007,-0.052,0.027,30
models,ton_scanning,RF,zero,mcnemar_vs_naive,0.413,0.35,0.48,30
models,ton_scanning,LogReg,mild,lp32_vs_naive,-0.026,-0.057,0.0,30
models,ton_scanning,LogReg,zero,mcnemar_vs_naive,0.182,0.017,0.377,30
models,ton_scanning,MLP,mild,lp32_vs_naive,0.176,0.035,0.345,30
models,ton_scanning,MLP,zero,mcnemar_vs_naive,2.155,1.583,2.721,30
models,ton_scanning,SVC-fulldim,mild,lp32_vs_naive,0.726,0.003,1.665,30
models,ton_scanning,SVC-fulldim,zero,mcnemar_vs_naive,4.76,2.031,8.113,30
generators,portscan,ensemble-cal,zero,mcnemar_vs_naive,-0.841,-0.993,-0.699,30
generators,portscan,sliding,zero,mcnemar_vs_naive,3.987,2.531,5.779,30
generators,portscan,cumulative,zero,mcnemar_vs_naive,7.036,3.457,11.054,30
generators,portscan,replay,zero,mcnemar_vs_naive,2.927,2.128,3.947,30
generators,unsw_recon,ensemble-cal,zero,mcnemar_vs_naive,0.533,0.433,0.635,30
generators,unsw_recon,sliding,zero,mcnemar_vs_naive,0.919,0.783,1.063,30
generators,unsw_recon,cumulative,zero,mcnemar_vs_naive,0.069,-0.068,0.219,30
generators,unsw_recon,replay,zero,mcnemar_vs_naive,0.745,0.609,0.884,30
generators,ton_scanning,ensemble-cal,zero,mcnemar_vs_naive,0.228,0.091,0.382,30
generators,ton_scanning,sliding,zero,mcnemar_vs_naive,7.212,3.898,11.112,30
generators,ton_scanning,cumulative,zero,mcnemar_vs_naive,9.455,5.058,14.365,30
generators,ton_scanning,replay,zero,mcnemar_vs_naive,4.033,2.001,6.622,30
cs_gate,portscan,EB-CS,full,ebcs_vs_lp32,-3.728,-4.794,-2.731,27
cs_gate,portscan,EB-CS,full,ebcs_vs_naive,-2.801,-4.431,-0.9,27
cs_gate,unsw_recon,EB-CS,full,ebcs_vs_lp32,-1.313,-1.508,-1.114,27
cs_gate,unsw_recon,EB-CS,full,ebcs_vs_naive,-1.229,-1.475,-0.964,27
cs_gate,ton_scanning,EB-CS,full,ebcs_vs_lp32,-0.804,-1.109,-0.509,27
cs_gate,ton_scanning,EB-CS,full,ebcs_vs_naive,1.376,0.324,2.52,27
chrono,cicids_tuesday,temporal,chrono,gate_premium(lp32-naive),-5.662,-8.623,-3.85,30
