block,regime,drift,n,gain,lo,hi,commits,labels_probe,arm,triggers
ebcs_strat,portscan,zero,30,0.0,0.0,0.0,0.0,228.3,,
ebcs_strat,portscan,full,30,0.42,0.052,0.882,0.167,477.9,,
ebcs_defer,portscan,full,30,6.757,5.1,8.359,0.733,883.2,,
ebcs_defer,portscan,mild,30,0.0,0.0,0.0,0.0,284.8,,
ebcs_lifetime,portscan,zero,30,0.0,0.0,0.0,0.0,228.3,,
ebcs_lifetime,portscan,full,30,1.009,0.444,1.66,0.367,469.3,,
e2e_lite,portscan,full,30,1.014,0.338,1.835,0.4,,none,0.4
e2e_lite,portscan,full,30,1.014,0.338,1.835,0.4,,lp32,0.4
ebcs_strat,unsw_recon,zero,30,0.0,0.0,0.0,0.0,228.3,,
ebcs_strat,unsw_recon,full,30,0.0,0.0,0.0,0.0,454.4,,
ebcs_defer,unsw_recon,full,30,0.086,0.003,0.204,0.133,986.7,,
ebcs_defer,unsw_recon,mild,30,0.0,0.0,0.0,0.0,158.9,,
ebcs_lifetime,unsw_recon,zero,30,0.0,0.0,0.0,0.0,228.3,,
ebcs_lifetime,unsw_recon,full,30,0.0,0.0,0.0,0.0,454.4,,
e2e_lite,unsw_recon,full,30,0.826,0.507,1.116,1.87,,none,1.87
e2e_lite,unsw_recon,full,30,1.049,0.852,1.235,1.67,,lp32,2.23
ebcs_strat,ton_scanning,zero,30,0.0,0.0,0.0,0.0,228.3,,
ebcs_strat,ton_scanning,full,30,0.0,0.0,0.0,0.0,445.9,,
ebcs_defer,ton_scanning,full,30,0.003,0.0,0.008,0.033,945.1,,
ebcs_defer,ton_scanning,mild,30,0.0,0.0,0.0,0.0,165.3,,
ebcs_lifetime,ton_scanning,zero,30,0.0,0.0,0.0,0.0,228.3,,
ebcs_lifetime,ton_scanning,full,30,0.0,0.0,0.0,0.0,445.9,,
e2e_lite,ton_scanning,full,30,0.0,0.0,0.0,0.03,,none,0.03
e2e_lite,ton_scanning,full,30,0.0,0.0,0.0,0.0,,lp32,0.03
