method,n_seeds,mean_balanced_accuracy,std_balanced_accuracy,cumulative_error_area_mean,cumulative_error_area_std,mean_gain_vs_no_adapt,cumulative_gain_vs_no_adapt_mean,n_adaptations_mean,false_adaptations_mean,first_adaptation_window_mean,alarm_rate_mean,trigger_rate_mean,detector_runtime_sec_total_mean,fit_runtime_sec_total_mean,scenario,feature_map_config,feature_map_family,q_reps,adaptation_efficiency_mean
qk_mmd_pauli_xz,10,0.886671875,0.01010196496631,11.3328125,1.010196496631005,0.1256328125,12.56328125,3.7,0.0,29.7,0.233,0.037,13.491979539603928,0.0233789500314742,wednesday,paulixz_r3,PauliXZ,3,3.3954814189189184
qk_mmd_zz,10,0.88665625,0.010571107706497,11.334375,1.0571107706497038,0.1256171875,12.56171875,3.1,0.0,28.4,0.219,0.031,5.69598446993623,0.0187045000493526,wednesday,zz_r1,ZZ,1,4.052167338709678
qk_mmd_zz,10,0.883140625,0.0141129880709815,11.6859375,1.411298807098152,0.1221015625,12.21015625,3.3,0.0,28.3,0.227,0.033,12.130083390278742,0.0218027999624609,wednesday,zz_r3,ZZ,3,3.700047348484849
qk_mmd_pauli_xz,10,0.8807265624999999,0.025663135632468,11.92734375,2.566313563246805,0.1196874999999999,11.96875,3.2,0.0,28.5,0.219,0.032,6.234160020179115,0.0203040100168436,wednesday,paulixz_r1,PauliXZ,1,3.740234375
qk_mmd_pauli_xz,10,0.8789296875,0.0233716972678798,12.10703125,2.337169726787988,0.117890625,11.7890625,3.7,0.0,29.9,0.233,0.037,9.630509510287084,0.0227950900094583,wednesday,paulixz_r2,PauliXZ,2,3.186233108108108
qk_mmd_zz,10,0.87715625,0.0213573168408133,12.284375,2.135731684081333,0.1161171875,11.61171875,3.2,0.0,29.8,0.237,0.032,9.190042420011014,0.0247260000323876,wednesday,zz_r2,ZZ,2,3.6286621093749996
no_adaptation,10,0.7610390625,0.0146244328779228,23.89609375,1.462443287792276,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,zz_r1,ZZ,1,
no_adaptation,10,0.7610390625,0.0146244328779228,23.89609375,1.462443287792276,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,zz_r2,ZZ,2,
no_adaptation,10,0.7610390625,0.0146244328779228,23.89609375,1.462443287792276,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,zz_r3,ZZ,3,
no_adaptation,10,0.7610390625,0.0146244328779228,23.89609375,1.462443287792276,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,paulixz_r1,PauliXZ,1,
no_adaptation,10,0.7610390625,0.0146244328779228,23.89609375,1.462443287792276,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,paulixz_r2,PauliXZ,2,
no_adaptation,10,0.7610390625,0.0146244328779228,23.89609375,1.462443287792276,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,wednesday,paulixz_r3,PauliXZ,3,
