dataset,model,condition,seed,n_per_block,inc_is_m1,ba_incumbent,ba_challenger,gap_rand,gap_m2_minus_m1
portscan,svc_rbf,independent,2001,2000,True,97.5,96.1,-1.4,-1.4
portscan,svc_rbf,own_transformer,2001,2000,True,97.475,97.55,0.075,0.075
portscan,svc_rbf,independent,2002,2000,True,97.85,97.775,-0.075,-0.075
portscan,svc_rbf,own_transformer,2002,2000,True,97.9,97.825,-0.075,-0.075
portscan,svc_rbf,independent,2003,2000,True,97.475,97.075,-0.4,-0.4
portscan,svc_rbf,own_transformer,2003,2000,True,97.525,97.6,0.075,0.075
portscan,svc_rbf,independent,2004,2000,True,50.0,97.2,47.2,47.2
portscan,svc_rbf,own_transformer,2004,2000,True,94.925,97.225,2.3,2.3
portscan,svc_rbf,independent,2005,2000,True,97.825,97.55,-0.275,-0.275
portscan,svc_rbf,own_transformer,2005,2000,True,97.875,97.725,-0.15,-0.15
portscan,svc_rbf,independent,2006,2000,False,96.025,81.45,-14.575,14.575
portscan,svc_rbf,own_transformer,2006,2000,False,97.45,95.0,-2.45,2.45
portscan,svc_rbf,independent,2007,2000,False,50.375,97.75,47.375,-47.375
portscan,svc_rbf,own_transformer,2007,2000,False,97.675,97.95,0.275,-0.275
portscan,svc_rbf,independent,2008,2000,True,98.225,98.075,-0.15,-0.15
portscan,svc_rbf,own_transformer,2008,2000,True,98.275,98.275,0.0,0.0
portscan,svc_rbf,independent,2009,2000,False,97.875,97.95,0.075,-0.075
portscan,svc_rbf,own_transformer,2009,2000,False,97.65,97.925,0.275,-0.275
portscan,svc_rbf,independent,2010,2000,False,97.4,97.375,-0.025,0.025
portscan,svc_rbf,own_transformer,2010,2000,False,97.45,97.45,0.0,0.0
portscan,svc_rbf,independent,2011,2000,True,97.65,97.575,-0.075,-0.075
portscan,svc_rbf,own_transformer,2011,2000,True,97.55,97.35,-0.2,-0.2
portscan,svc_rbf,independent,2012,2000,False,97.2,97.6,0.4,-0.4
portscan,svc_rbf,own_transformer,2012,2000,False,97.825,97.65,-0.175,0.175
portscan,svc_rbf,independent,2013,2000,True,94.775,94.575,-0.2,-0.2
portscan,svc_rbf,own_transformer,2013,2000,True,97.525,97.525,0.0,0.0
portscan,svc_rbf,independent,2014,2000,False,97.15,50.0,-47.15,47.15
portscan,svc_rbf,own_transformer,2014,2000,False,97.725,96.7,-1.025,1.025
portscan,svc_rbf,independent,2015,2000,True,97.8,97.5,-0.3,-0.3
portscan,svc_rbf,own_transformer,2015,2000,True,97.7,97.8,0.1,0.1
portscan,svc_rbf,independent,2016,2000,False,95.025,97.55,2.525,-2.525
portscan,svc_rbf,own_transformer,2016,2000,False,97.275,97.35,0.075,-0.075
