dataset,model,condition,analysis,n_seeds,margin,mean_gap,ci90_lo,ci90_hi,equivalent,boot_frac_below_neg_margin,boot_frac_above_pos_margin,bootstrap_seed,primary
portscan,svc_rbf,independent,primary_confirmatory,100,0.5,-0.299,-3.852,3.23,False,0.4651,0.3512,1907046551,False
portscan,svc_rbf,independent,primary_confirmatory,100,1.0,-0.299,-3.801,3.341,False,0.36965,0.28005,3584046991,True
portscan,svc_rbf,independent,primary_confirmatory,100,2.0,-0.299,-3.881,3.241,False,0.217,0.1477,3453547084,False
portscan,svc_rbf,independent,secondary_pilot_plus_confirmatory,100,0.5,-0.299,-3.861,3.221,False,0.4634,0.35735,438594797,False
portscan,svc_rbf,independent,secondary_pilot_plus_confirmatory,100,1.0,-0.299,-3.844,3.274,False,0.36825,0.274,961010248,False
portscan,svc_rbf,independent,secondary_pilot_plus_confirmatory,100,2.0,-0.299,-3.793,3.297,False,0.21225,0.1452,1369257561,False
portscan,svc_rbf,own_transformer,primary_confirmatory,100,0.5,0.014,-0.092,0.119,True,0.0,0.0,1839238660,False
portscan,svc_rbf,own_transformer,primary_confirmatory,100,1.0,0.014,-0.09,0.12,True,0.0,0.0,4245850510,True
portscan,svc_rbf,own_transformer,primary_confirmatory,100,2.0,0.014,-0.092,0.12,True,0.0,0.0,1758835058,False
portscan,svc_rbf,own_transformer,secondary_pilot_plus_confirmatory,100,0.5,0.014,-0.093,0.117,True,0.0,0.0,3873187953,False
portscan,svc_rbf,own_transformer,secondary_pilot_plus_confirmatory,100,1.0,0.014,-0.091,0.119,True,0.0,0.0,420126933,False
portscan,svc_rbf,own_transformer,secondary_pilot_plus_confirmatory,100,2.0,0.014,-0.09,0.12,True,0.0,0.0,1019742529,False
ton_scanning,svc_rbf,inc_scaler_indep_pca,primary_confirmatory,100,0.5,-12.166,-14.75,-9.692,False,1.0,0.0,1416585291,False
ton_scanning,svc_rbf,inc_scaler_indep_pca,primary_confirmatory,100,1.0,-12.166,-14.735,-9.711,False,1.0,0.0,1366636466,True
ton_scanning,svc_rbf,inc_scaler_indep_pca,primary_confirmatory,100,2.0,-12.166,-14.721,-9.689,False,1.0,0.0,49329383,False
ton_scanning,svc_rbf,inc_scaler_indep_pca,secondary_pilot_plus_confirmatory,100,0.5,-12.166,-14.709,-9.673,False,1.0,0.0,3862003998,False
ton_scanning,svc_rbf,inc_scaler_indep_pca,secondary_pilot_plus_confirmatory,100,1.0,-12.166,-14.72,-9.654,False,1.0,0.0,227081119,False
ton_scanning,svc_rbf,inc_scaler_indep_pca,secondary_pilot_plus_confirmatory,100,2.0,-12.166,-14.719,-9.668,False,1.0,0.0,3133392131,False
ton_scanning,svc_rbf,indep_scaler_inc_pca,primary_confirmatory,100,0.5,0.163,-2.342,2.725,False,0.3284,0.41585,1819072346,False
ton_scanning,svc_rbf,indep_scaler_inc_pca,primary_confirmatory,100,1.0,0.163,-2.368,2.674,False,0.22265,0.2907,3423779153,True
ton_scanning,svc_rbf,indep_scaler_inc_pca,primary_confirmatory,100,2.0,0.163,-2.422,2.657,False,0.08275,0.1169,3584287065,False
ton_scanning,svc_rbf,indep_scaler_inc_pca,secondary_pilot_plus_confirmatory,100,0.5,0.163,-2.38,2.702,False,0.337,0.41245,2887714695,False
ton_scanning,svc_rbf,indep_scaler_inc_pca,secondary_pilot_plus_confirmatory,100,1.0,0.163,-2.356,2.694,False,0.2237,0.291,2819264755,False
ton_scanning,svc_rbf,indep_scaler_inc_pca,secondary_pilot_plus_confirmatory,100,2.0,0.163,-2.394,2.675,False,0.0826,0.1133,3008036351,False
ton_scanning,svc_rbf,independent,primary_confirmatory,100,0.5,-1.425,-4.428,1.672,False,0.68475,0.15215,3277161708,False
