dataset,model,condition,contrast,n_seeds,n_per_block,gap,lo,hi
portscan,svc_rbf,independent,rand,30,2000,-1.333,-4.783,0.694
portscan,svc_rbf,independent,m2_minus_m1,30,2000,1.808,-0.074,5.258
portscan,svc_rbf,incumbent_fit,rand,30,2000,-1.685,-4.913,-0.036
portscan,svc_rbf,incumbent_fit,m2_minus_m1,30,2000,1.573,-0.085,4.816
portscan,svc_rbf,challenger_fit,rand,30,2000,1.593,0.028,4.626
portscan,svc_rbf,challenger_fit,m2_minus_m1,30,2000,1.489,-0.079,4.532
portscan,svc_rbf,own_transformer,rand,30,2000,-0.048,-0.121,0.015
portscan,svc_rbf,own_transformer,m2_minus_m1,30,2000,0.013,-0.053,0.084
portscan,random_forest,independent,rand,30,2000,-0.017,-0.051,0.02
portscan,random_forest,independent,m2_minus_m1,30,2000,-0.015,-0.05,0.02
portscan,random_forest,incumbent_fit,rand,30,2000,-0.018,-0.049,0.013
portscan,random_forest,incumbent_fit,m2_minus_m1,30,2000,-0.032,-0.062,-0.003
portscan,random_forest,challenger_fit,rand,30,2000,-0.0,-0.045,0.047
portscan,random_forest,challenger_fit,m2_minus_m1,30,2000,-0.035,-0.08,0.008
portscan,random_forest,own_transformer,rand,30,2000,-0.01,-0.044,0.024
portscan,random_forest,own_transformer,m2_minus_m1,30,2000,0.002,-0.032,0.037
unsw_recon,svc_rbf,independent,rand,30,2000,0.094,-0.009,0.193
unsw_recon,svc_rbf,independent,m2_minus_m1,30,2000,0.052,-0.05,0.162
unsw_recon,svc_rbf,incumbent_fit,rand,30,2000,0.014,-0.089,0.115
unsw_recon,svc_rbf,incumbent_fit,m2_minus_m1,30,2000,-0.006,-0.104,0.102
unsw_recon,svc_rbf,challenger_fit,rand,30,2000,0.107,0.016,0.204
unsw_recon,svc_rbf,challenger_fit,m2_minus_m1,30,2000,0.046,-0.052,0.15
unsw_recon,svc_rbf,own_transformer,rand,30,2000,0.1,0.005,0.194
unsw_recon,svc_rbf,own_transformer,m2_minus_m1,30,2000,0.022,-0.08,0.124
unsw_recon,random_forest,independent,rand,30,2000,0.187,0.06,0.322
unsw_recon,random_forest,independent,m2_minus_m1,30,2000,-0.147,-0.287,-0.014
unsw_recon,random_forest,incumbent_fit,rand,30,2000,0.081,-0.035,0.193
unsw_recon,random_forest,incumbent_fit,m2_minus_m1,30,2000,-0.112,-0.222,0.001
unsw_recon,random_forest,challenger_fit,rand,30,2000,0.127,-0.018,0.259
unsw_recon,random_forest,challenger_fit,m2_minus_m1,30,2000,-0.125,-0.262,0.015
unsw_recon,random_forest,own_transformer,rand,30,2000,0.088,-0.034,0.207
unsw_recon,random_forest,own_transformer,m2_minus_m1,30,2000,-0.126,-0.238,-0.011
ton_scanning,svc_rbf,independent,rand,30,2000,-1.779,-7.453,3.921
ton_scanning,svc_rbf,independent,m2_minus_m1,30,2000,2.593,-2.795,8.472
ton_scanning,svc_rbf,incumbent_fit,rand,30,2000,-12.347,-19.328,-6.454
ton_scanning,svc_rbf,incumbent_fit,m2_minus_m1,30,2000,4.532,-2.98,12.345
ton_scanning,svc_rbf,challenger_fit,rand,30,2000,17.767,11.003,24.751
ton_scanning,svc_rbf,challenger_fit,m2_minus_m1,30,2000,-1.188,-10.502,8.16
ton_scanning,svc_rbf,own_transformer,rand,30,2000,0.047,-0.114,0.214
ton_scanning,svc_rbf,own_transformer,m2_minus_m1,30,2000,-0.135,-0.298,0.02
ton_scanning,random_forest,independent,rand,30,2000,0.02,-0.023,0.063
ton_scanning,random_forest,independent,m2_minus_m1,30,2000,-0.017,-0.058,0.028
ton_scanning,random_forest,incumbent_fit,rand,30,2000,-0.012,-0.055,0.028
ton_scanning,random_forest,incumbent_fit,m2_minus_m1,30,2000,-0.01,-0.048,0.034
ton_scanning,random_forest,challenger_fit,rand,30,2000,0.005,-0.036,0.046
ton_scanning,random_forest,challenger_fit,m2_minus_m1,30,2000,-0.015,-0.054,0.028
ton_scanning,random_forest,own_transformer,rand,30,2000,0.012,-0.032,0.054
ton_scanning,random_forest,own_transformer,m2_minus_m1,30,2000,0.012,-0.031,0.055
