scenario,policy,cap,schedule,gain,lo,hi,naive_gain,e2_frac_naive,commits_total,proposals,commits_per_stream,e3_labels_per_commit,labels_probe_per_proposal,labels_probe_per_stream,e4_abstention,e5_delay_windows,n_commits_immediate,n_commits_deferred,e6_n_evaluable,e6_n_censored,e6_harmful_h5,e6_harmful_immediate,e6_harmful_deferred,e6_rate,e6_cp_lo,e6_cp_hi,e6_harmful_until_next,e6_n_eval_until_next,e6_mean_delta_h5
ps_full,ebcsdef,64,bonf,3.728,2.44,5.033,7.216,0.517,17,197,0.57,1589.6,137.2,900.8,0.848,4.53,0,17,17,0,0,0,0,0.0,0.0,0.195,0,17,0.218
ps_full,ebcsdef,64,pser,2.904,1.849,4.004,7.216,0.403,17,207,0.57,1682.8,138.2,953.6,0.855,4.6,0,17,17,0,0,0,0,0.0,0.0,0.195,0,17,0.2424
ps_full,ebcsdef,128,bonf,5.022,3.403,6.604,7.216,0.696,18,199,0.6,2196.4,198.7,1317.9,0.819,4.37,2,16,18,0,0,0,0,0.0,0.0,0.185,0,18,0.1747
ps_full,ebcsdef,128,pser,4.557,3.007,6.099,7.216,0.632,17,197,0.57,2316.2,199.9,1312.5,0.832,4.45,1,16,17,0,0,0,0,0.0,0.0,0.195,0,17,0.193
ps_full,ebcsdef,256,bonf,5.883,4.045,7.653,7.216,0.815,19,214,0.63,3647.2,323.8,2309.9,0.818,4.16,11,8,18,1,0,0,0,0.0,0.0,0.185,0,19,0.1298
ps_full,ebcsdef,256,pser,5.87,4.017,7.687,7.216,0.813,18,210,0.6,3768.0,323.0,2260.8,0.8,4.12,9,9,18,0,0,0,0,0.0,0.0,0.185,0,18,0.1264
ps_full,ebcsdef,512,bonf,6.73,4.755,8.66,7.216,0.933,25,207,0.83,4782.1,577.5,3985.1,0.783,4.0,20,5,24,1,0,0,0,0.0,0.0,0.142,0,25,0.0904
ps_full,ebcsdef,512,pser,6.652,4.617,8.635,7.216,0.922,23,211,0.77,5296.0,577.3,4060.3,0.787,4.0,19,4,22,1,0,0,0,0.0,0.0,0.154,0,23,0.0902
ps_full,ebcsdef,1024,bonf,7.299,5.253,9.296,7.216,1.012,41,187,1.37,4933.5,1081.7,6742.4,0.695,3.57,36,5,41,0,0,0,0,0.0,0.0,0.086,0,41,0.054
ps_full,ebcsdef,1024,pser,7.229,5.164,9.251,7.216,1.002,35,197,1.17,6103.3,1084.3,7120.5,0.741,3.74,33,2,34,1,0,0,0,0.0,0.0,0.103,0,35,0.0552
ps_full,vbccoh,64,bonf,0.687,0.226,1.217,7.216,0.095,7,226,0.23,4528.0,140.2,1056.5,0.889,4.65,0,7,7,0,0,0,0,0.0,0.0,0.41,0,7,0.2783
ps_full,vbccoh,64,pser,0.0,0.0,0.0,7.216,0.0,0,232,0.0,,140.2,1084.3,0.909,4.62,0,0,0,0,0,0,0,,,,0,0,
ps_full,vbccoh,128,bonf,2.274,1.434,3.121,7.216,0.315,17,212,0.57,2510.1,201.3,1422.4,0.854,4.54,0,17,16,1,0,0,0,0.0,0.0,0.206,0,16,0.2609
ps_full,vbccoh,128,pser,0.598,0.205,1.06,7.216,0.083,7,228,0.23,6608.0,202.9,1541.9,0.882,4.56,0,7,6,1,0,0,0,0.0,0.0,0.459,0,7,0.2766
