stream,policy,n_seeds_ba,noadapt_ba,noadapt_acc,gain_ba,ba_lo,ba_hi,gain_acc,acc_lo,acc_hi,commits_per_stream,labels_per_stream,n_proposals_per_stream,vbc_steps_mean
tue_wedthufri,none,30,0.5904,0.7297,0.1478,0.1319,0.1643,0.0564,0.0429,0.0702,13.8,0.0,,
tue_wedthufri,point,30,0.5904,0.7297,0.1152,0.0873,0.1419,0.0771,0.0668,0.0891,10.27,435.2,,
tue_wedthufri,strict,30,0.5904,0.7297,0.115,0.0888,0.1412,0.0627,0.0509,0.0755,6.3,435.2,,
tue_wedthufri,vbccoh,30,0.5904,0.7297,0.0016,0.0,0.0047,0.0038,0.0,0.0114,0.03,206.6,13.03,0.62
wed_fri,none,30,0.5178,0.7421,0.3529,0.3488,0.3575,0.1181,0.1092,0.1284,15.37,0.0,,
wed_fri,point,30,0.5178,0.7421,0.2764,0.2669,0.2878,0.1655,0.1617,0.1694,11.33,482.1,,
wed_fri,strict,30,0.5178,0.7421,0.2881,0.2725,0.302,0.1645,0.1544,0.1732,4.03,505.6,,
wed_fri,vbccoh,30,0.5178,0.7421,0.0091,0.0059,0.0111,-0.1443,-0.1465,-0.1423,1.0,122.0,16.0,0.31
thu_fri,none,30,0.4905,0.5901,0.3607,0.3552,0.3663,0.258,0.2515,0.2652,15.17,0.0,,
thu_fri,point,30,0.4905,0.5901,0.2771,0.2703,0.2839,0.3081,0.3018,0.3139,11.5,481.1,,
thu_fri,strict,30,0.4905,0.5901,0.2651,0.2481,0.2809,0.259,0.247,0.2696,5.03,503.5,,
thu_fri,vbccoh,30,0.4905,0.5901,0.0156,0.0072,0.0249,0.0128,0.0076,0.0186,0.8,179.3,15.63,0.45
wed_intraday,none,30,0.8471,0.9542,0.0647,0.0559,0.0736,-0.008,-0.0113,-0.0045,7.47,0.0,,
wed_intraday,point,30,0.8471,0.9542,0.0602,0.0524,0.0684,-0.0077,-0.0111,-0.0042,7.0,234.7,,
wed_intraday,strict,30,0.8471,0.9542,0.0577,0.0485,0.0671,-0.0102,-0.0141,-0.0059,3.2,242.1,,
wed_intraday,vbccoh,30,0.8471,0.9542,0.0056,-0.0021,0.0137,-0.0233,-0.0298,-0.0166,0.63,444.4,12.0,1.31
thu_intraday,none,30,0.4834,0.96,0.0088,0.0075,0.01,0.0219,0.0199,0.0238,3.23,0.0,,
thu_intraday,point,30,0.4834,0.96,0.0088,0.0075,0.01,0.0219,0.0199,0.0238,3.27,104.5,,
thu_intraday,strict,30,0.4834,0.96,0.0042,0.0028,0.0057,0.0146,0.0112,0.0179,0.8,104.5,,
thu_intraday,vbccoh,30,0.4834,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.33,0.05
unsw_20,none,30,0.8289,0.8942,0.0835,0.0761,0.0899,0.0472,0.0454,0.0491,13.0,0.0,,
unsw_20,point,30,0.8289,0.8942,0.099,0.0915,0.1058,0.0601,0.0581,0.0621,10.7,414.9,,
unsw_20,strict,30,0.8289,0.8942,0.1113,0.105,0.1171,0.0648,0.0632,0.0664,2.47,416.0,,
unsw_20,vbccoh,30,0.8289,0.8942,0.1076,0.0987,0.1138,0.0616,0.0571,0.0642,0.97,1231.6,13.0,3.15
unsw_40,none,30,0.8422,0.8573,0.0764,0.0669,0.0855,0.0772,0.0741,0.0805,17.27,0.0,,
unsw_40,point,30,0.8422,0.8573,0.0838,0.0758,0.0917,0.0845,0.0812,0.0881,14.03,551.5,,
unsw_40,strict,30,0.8422,0.8573,0.0898,0.0815,0.0973,0.0734,0.07,0.077,3.63,551.5,,
unsw_40,vbccoh,30,0.8422,0.8573,0.0692,0.06,0.0784,0.0573,0.0505,0.0644,1.3,1634.4,16.93,3.17
