family,family_size,method,test,effect,ci_lo,ci_hi,p_raw,p_adj,p_method,p_ttest_sensitivity,p_wilcoxon_sensitivity,significant_adj
confirmatory core (gate vs naive),6,Holm,ks/portscan lp32 vs naive,0.868,-0.007,2.089,0.093509,0.280527,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.136234,0.172848,False
confirmatory core (gate vs naive),6,Holm,qk/portscan lp32 vs naive,1.449,0.512,2.552,0.00585,0.0279,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.010921,0.005503,True
confirmatory core (gate vs naive),6,Holm,ks/unsw_recon lp32 vs naive,0.144,-0.09,0.383,0.233588,0.467175,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.252202,0.255211,False
confirmatory core (gate vs naive),6,Holm,qk/unsw_recon lp32 vs naive,0.072,-0.086,0.246,0.394436,0.467175,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.414903,0.485061,False
confirmatory core (gate vs naive),6,Holm,ks/ton_scanning lp32 vs naive,2.427,1.528,3.427,1e-05,6e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",3.8e-05,0.000196,True
confirmatory core (gate vs naive),6,Holm,qk/ton_scanning lp32 vs naive,3.627,1.661,6.382,0.00558,0.0279,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.006452,8.9e-05,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,ebcsdef/cap64 gain vs no-adaptation,3.728,2.44,5.033,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",5e-06,0.000293,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,ebcsdef/cap128 gain vs no-adaptation,5.022,3.403,6.604,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",2e-06,0.000196,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,ebcsdef/cap256 gain vs no-adaptation,5.883,4.045,7.653,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",1e-06,0.000196,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,ebcsdef/cap512 gain vs no-adaptation,6.73,4.755,8.66,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.0,4e-05,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,ebcsdef/cap1024 gain vs no-adaptation,7.299,5.253,9.296,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.0,8e-06,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,vbccoh/cap64 gain vs no-adaptation,0.687,0.226,1.217,0.00816,0.009415,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.013699,0.01796,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,vbccoh/cap128 gain vs no-adaptation,2.274,1.434,3.121,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",1.5e-05,0.000438,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,vbccoh/cap256 gain vs no-adaptation,4.39,2.929,5.839,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",2e-06,0.000196,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,vbccoh/cap512 gain vs no-adaptation,5.825,3.996,7.593,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",1e-06,0.000196,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,vbccoh/cap1024 gain vs no-adaptation,6.558,4.565,8.487,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.0,6e-05,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,vbcref/cap64 gain vs no-adaptation,0.0,0.0,0.0,1.0,1.0,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",1.0,,False
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,vbcref/cap128 gain vs no-adaptation,0.0,0.0,0.0,1.0,1.0,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",1.0,,False
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,vbcref/cap256 gain vs no-adaptation,2.25,1.45,3.062,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",1.1e-05,0.000438,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,vbcref/cap512 gain vs no-adaptation,4.916,3.352,6.458,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",1e-06,0.000196,True
"registered follow-up: budget frontier (PortScan full, Bonferroni)",15,Benjamini-Hochberg,vbcref/cap1024 gain vs no-adaptation,6.159,4.243,8.02,1e-05,1.2e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",1e-06,8.9e-05,True
registered follow-up: chronological matrix (strict),7,Benjamini-Hochberg,tue_wedthufri strict gain vs no-adaptation,11.5,8.88,14.12,1e-05,1e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.0,0.0,True
registered follow-up: chronological matrix (strict),7,Benjamini-Hochberg,wed_fri strict gain vs no-adaptation,28.81,27.25,30.2,1e-05,1e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.0,0.0,True
registered follow-up: chronological matrix (strict),7,Benjamini-Hochberg,thu_fri strict gain vs no-adaptation,26.51,24.81,28.09,1e-05,1e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.0,0.0,True
registered follow-up: chronological matrix (strict),7,Benjamini-Hochberg,wed_intraday strict gain vs no-adaptation,5.77,4.85,6.71,1e-05,1e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.0,0.0,True
registered follow-up: chronological matrix (strict),7,Benjamini-Hochberg,thu_intraday strict gain vs no-adaptation,0.42,0.28,0.57,1e-05,1e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",4e-06,2.7e-05,True
registered follow-up: chronological matrix (strict),7,Benjamini-Hochberg,unsw_20 strict gain vs no-adaptation,11.13,10.5,11.71,1e-05,1e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.0,0.0,True
registered follow-up: chronological matrix (strict),7,Benjamini-Hochberg,unsw_40 strict gain vs no-adaptation,8.98,8.15,9.73,1e-05,1e-05,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)",0.0,0.0,True
