dataset,prevalence,acquisition,cand_latency,train_delay,n_seeds,noadapt_ba,gain,lo,hi,triggers_per_stream,commits_per_stream,attacks_found_total,labels_total,inspected_flows_per_attack,expected_random_ratio,dual_sample,discovery_attacks,validation_attacks,discovery_flows_per_attack
portscan,0.005,alert_enriched,5,0,30,0.8687,0.0568,0.0397,0.0741,4.43,2.43,178,8512,47.8,200.0,True,156,22,27.3
portscan,0.005,disagreement,5,0,30,0.8687,0.0568,0.0397,0.0741,4.43,2.43,46,8512,185.0,200.0,True,24,22,177.3
portscan,0.005,hybrid,5,0,30,0.8687,0.0568,0.0397,0.0741,4.43,2.43,136,8512,62.6,200.0,True,114,22,37.3
portscan,0.005,random,5,0,30,0.8687,0.0568,0.0397,0.0741,4.43,2.43,40,8512,212.8,200.0,True,18,22,236.4
portscan,0.01,alert_enriched,5,0,30,0.8687,0.0568,0.0397,0.0741,4.43,2.43,338,8512,25.2,100.0,True,295,43,14.4
portscan,0.01,disagreement,5,0,30,0.8687,0.0568,0.0397,0.0741,4.43,2.43,95,8512,89.6,100.0,True,52,43,81.8
portscan,0.01,hybrid,5,0,30,0.8687,0.0568,0.0397,0.0741,4.43,2.43,274,8512,31.1,100.0,True,231,43,18.4
portscan,0.01,random,5,0,30,0.8687,0.0568,0.0397,0.0741,4.43,2.43,82,8512,103.8,100.0,True,39,43,109.1
portscan,0.05,alert_enriched,5,0,30,0.8687,0.0583,0.0411,0.076,4.43,2.47,1509,8512,5.6,20.0,True,1291,218,3.3
portscan,0.05,disagreement,5,0,30,0.8687,0.0583,0.0411,0.076,4.43,2.47,494,8512,17.2,20.0,True,276,218,15.4
portscan,0.05,hybrid,5,0,30,0.8687,0.0583,0.0411,0.076,4.43,2.47,1067,8512,8.0,20.0,True,849,218,5.0
portscan,0.05,random,5,0,30,0.8687,0.0583,0.0411,0.076,4.43,2.47,415,8512,20.5,20.0,True,197,218,21.6
portscan,0.05,random,20,0,30,0.8687,0.0481,0.031,0.0657,4.87,2.2,489,9344,19.1,20.0,True,234,255,20.0
portscan,0.05,random,5,5,30,0.8687,0.0537,0.0375,0.0702,4.07,1.8,408,7744,19.0,20.0,True,197,211,19.7
portscan,0.1,alert_enriched,5,0,30,0.8687,0.0619,0.0437,0.0804,4.27,2.7,2521,8192,3.2,10.0,True,2102,419,1.9
portscan,0.1,disagreement,5,0,30,0.8687,0.0619,0.0437,0.0804,4.27,2.7,884,8192,9.3,10.0,True,465,419,8.8
portscan,0.1,hybrid,5,0,30,0.8687,0.0619,0.0437,0.0804,4.27,2.7,1731,8192,4.7,10.0,True,1312,419,3.1
portscan,0.1,random,5,0,30,0.8687,0.0619,0.0437,0.0804,4.27,2.7,825,8192,9.9,10.0,True,406,419,10.1
ton,0.005,alert_enriched,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,124,6272,50.6,200.0,True,109,15,28.8
ton,0.005,disagreement,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,38,6272,165.1,200.0,True,23,15,136.3
ton,0.005,hybrid,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,94,6272,66.7,200.0,True,79,15,39.7
ton,0.005,random,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,37,6272,169.5,200.0,True,22,15,142.5
ton,0.01,alert_enriched,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,240,6272,26.1,100.0,True,213,27,14.7
ton,0.01,disagreement,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,67,6272,93.6,100.0,True,40,27,78.4
ton,0.01,hybrid,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,186,6272,33.7,100.0,True,159,27,19.7
ton,0.01,random,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,61,6272,102.8,100.0,True,34,27,92.2
ton,0.05,alert_enriched,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,1162,6272,5.4,20.0,True,1019,143,3.1
ton,0.05,disagreement,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,346,6272,18.1,20.0,True,203,143,15.4
ton,0.05,hybrid,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,773,6272,8.1,20.0,True,630,143,5.0
ton,0.05,random,5,0,30,0.9242,-0.0137,-0.042,0.0056,3.27,2.0,300,6272,20.9,20.0,True,157,143,20.0
ton,0.05,random,20,0,30,0.9242,-0.0031,-0.0161,0.0069,3.2,2.0,305,6144,20.1,20.0,True,161,144,19.1
ton,0.05,random,5,5,30,0.9242,-0.0043,-0.0236,0.0091,3.0,1.83,307,5760,18.8,20.0,True,154,153,18.7
ton,0.1,alert_enriched,5,0,30,0.9242,-0.0024,-0.0164,0.0083,3.17,2.0,1925,6080,3.2,10.0,True,1646,279,1.8
ton,0.1,disagreement,5,0,30,0.9242,-0.0024,-0.0164,0.0083,3.17,2.0,605,6080,10.0,10.0,True,326,279,9.3
ton,0.1,hybrid,5,0,30,0.9242,-0.0024,-0.0164,0.0083,3.17,2.0,1226,6080,5.0,10.0,True,947,279,3.2
ton,0.1,random,5,0,30,0.9242,-0.0024,-0.0164,0.0083,3.17,2.0,580,6080,10.5,10.0,True,301,279,10.1
