severity,method,alarm_rate_post,alarm_rate_pre,score_ratio_mean_post,score_ratio_mean_pre,score_ratio_gap_post_minus_pre,alarm_rate_gap_post_minus_pre,post_balanced_accuracy_mean,degradation_area_mean,adaptation_gain_vs_no_adapt_mean,clean_downstream_adaptation_rate,clean_adaptation_gain_mean,false_alarm_any_rate,trigger_delay_windows_mean
0.1,MMD-RBF,0.09,0.075,0.5865327253675665,0.5840283662555286,0.002504359112037946,0.015,0.919140625,0.0239973958333333,0.0019010416666666,0.0666666666666666,0.0010677083333333,0.0333333333333333,5.666666666666667
0.1,QK-MMD PauliXZ,0.09166666666666666,0.07166666666666667,0.808516975805759,0.7993902085574106,0.009126767248348377,0.01999999999999999,0.9187630208333334,0.0243749999999999,0.0015234374999999,0.0666666666666666,0.0010286458333333,0.0666666666666666,8.666666666666666
0.1,QK-MMD ZZ,0.08833333333333333,0.07166666666666667,0.7981913295495155,0.7884580740040213,0.009733255545494202,0.016666666666666663,0.9191145833333334,0.0240234375,0.0018749999999999,0.1,0.0013802083333333,0.0666666666666666,9.5
0.25,MMD-RBF,0.11333333333333333,0.08833333333333333,0.6353434472593713,0.6053656818606619,0.029977765398709444,0.024999999999999994,0.9047395833333332,0.0250911458333333,0.0429947916666666,0.8,0.0437109374999999,0.0,3.68
0.25,QK-MMD PauliXZ,0.11666666666666667,0.105,0.8469596651012243,0.8296594569543497,0.017300208146874607,0.011666666666666672,0.8850651041666667,0.0455859375,0.0233203124999999,0.4,0.0212109374999999,0.0333333333333333,4.153846153846154
0.25,QK-MMD ZZ,0.11333333333333333,0.11,0.8385969300992541,0.8202498365187034,0.018347093580550644,0.003333333333333327,0.884921875,0.0457291666666666,0.0231770833333333,0.4,0.0210677083333333,0.0333333333333333,4.230769230769231
0.5,MMD-RBF,0.21666666666666667,0.085,0.7571625478345614,0.6235731909930938,0.13358935684146755,0.13166666666666665,0.8939973958333333,0.0213802083333333,0.1267057291666666,1.0,0.1267057291666666,0.0,2.0
0.5,QK-MMD PauliXZ,0.27666666666666667,0.08333333333333333,0.9137086851166332,0.8158160885555632,0.09789259656106997,0.19333333333333336,0.8929296875,0.0224479166666666,0.1256380208333333,0.9666666666666668,0.1214973958333332,0.0333333333333333,2.1333333333333333
0.5,QK-MMD ZZ,0.27,0.09333333333333334,0.9103326438722064,0.8097389682946624,0.10059367557754395,0.1766666666666667,0.8926822916666667,0.0226953125,0.1253906249999999,0.9666666666666668,0.1212499999999999,0.0333333333333333,2.1666666666666665
0.75,MMD-RBF,0.27666666666666667,0.09333333333333334,0.8260258318825742,0.6033024544047816,0.22272337747779258,0.18333333333333335,0.8720963541666666,0.0353385416666666,0.1973697916666666,0.9666666666666668,0.1907942708333333,0.0333333333333333,2.0
0.75,QK-MMD PauliXZ,0.35833333333333334,0.10333333333333333,0.9751015396107707,0.8058921358518301,0.16920940375894067,0.255,0.8720963541666666,0.0353385416666666,0.1973697916666666,0.9666666666666668,0.1908723958333333,0.0333333333333333,2.0
0.75,QK-MMD ZZ,0.34833333333333333,0.095,0.9674793933951169,0.79782682034901,0.16965257304610692,0.2533333333333333,0.8720963541666666,0.0353385416666666,0.1973697916666666,0.9666666666666668,0.1908723958333333,0.0333333333333333,2.0
1.0,MMD-RBF,0.42,0.06666666666666667,1.0290967981108379,0.5820510126431002,0.44704578546773766,0.35333333333333333,0.84921875,0.0468880208333333,0.2684114583333333,0.9333333333333332,0.2511197916666666,0.0666666666666666,2.0
1.0,QK-MMD PauliXZ,0.7566666666666667,0.07833333333333334,1.1540433290355496,0.8127747993877539,0.34126852964779575,0.6783333333333333,0.84921875,0.0468880208333333,0.2684114583333333,0.9666666666666668,0.2596484375,0.0333333333333333,2.0
1.0,QK-MMD ZZ,0.7266666666666667,0.08333333333333333,1.1474044070742675,0.8042734819186697,0.34313092515559784,0.6433333333333333,0.84921875,0.0468880208333333,0.2684114583333333,0.9666666666666668,0.2596484375,0.0333333333333333,2.0
