metric,value
sigma_noadapt_BA,7.365
sigma_adapted_BA,3.451
slope_gain_on_base,-0.866
perm_null_median_r,-0.908
perm_null_p_more_negative,0.803
detector_score_vs_gain_r__energy_distance,0.747
detector_score_vs_gain_r__mmd_rbf,0.94
detector_score_vs_gain_r__ks_max,0.879
detector_score_vs_gain_r__jsd,0.763
detector_score_vs_gain_r__qk_mmd_zz,-0.706
detector_score_vs_gain_r__qk_mmd_pauli_xz,0.189
detector_score_vs_gain_r_min,-0.706
detector_score_vs_gain_r_max,0.94
within_regime_score_vs_gain_r_median,0.06
within_regime_score_vs_gain_r_min,0.016
within_regime_score_vs_gain_r_max,0.134
within_regime_base_vs_gain_r_median,-0.681
within_regime_base_vs_gain_r_min,-0.987
within_regime_base_vs_gain_r_max,-0.351
