severity,method,traffic_volume,post_alarm_delta_vs_mmd,additional_detected_flow_equiv_vs_mmd,clean_gain_delta_vs_mmd,false_alarm_delta_vs_mmd
0.75,QK-MMD PauliXZ,10000000,0.0816666666666666,816666.6666666666,7.812499999998446e-05,0.0
0.75,QK-MMD PauliXZ,100000000,0.0816666666666666,8166666.666666667,7.812499999998446e-05,0.0
0.75,QK-MMD ZZ,10000000,0.0716666666666666,716666.6666666665,7.812499999998446e-05,0.0
0.75,QK-MMD ZZ,100000000,0.0716666666666666,7166666.666666666,7.812499999998446e-05,0.0
1.0,QK-MMD PauliXZ,1000000,0.3366666666666667,336666.66666666674,0.0085286458333334,-0.0333333333333333
1.0,QK-MMD PauliXZ,10000000,0.3366666666666667,3366666.6666666674,0.0085286458333334,-0.0333333333333333
1.0,QK-MMD PauliXZ,100000000,0.3366666666666667,33666666.66666667,0.0085286458333334,-0.0333333333333333
1.0,QK-MMD ZZ,1000000,0.3066666666666667,306666.6666666667,0.0085286458333334,-0.0333333333333333
1.0,QK-MMD ZZ,10000000,0.3066666666666667,3066666.666666667,0.0085286458333334,-0.0333333333333333
1.0,QK-MMD ZZ,100000000,0.3066666666666667,30666666.66666667,0.0085286458333334,-0.0333333333333333
