regime,detector,gate,n,diff_vs_naive_pts,naive_ci_lo,naive_ci_hi,naive_sig,diff_vs_noadapt_pts,noadapt_ci_lo,noadapt_ci_hi,noadapt_sig
portscan,ks_max,lp32,30,0.48,-0.097,1.475,False,8.27,6.203,10.369,True
portscan,ks_max,lp64,30,0.563,-0.009,1.565,False,8.353,6.181,10.491,True
portscan,ks_max,unsup,30,-2.109,-2.81,-1.449,True,5.681,3.296,7.743,True
portscan,qk_mmd_zz,lp32,30,0.493,-0.081,1.262,False,8.374,6.131,10.43,True
portscan,qk_mmd_zz,lp64,30,0.525,-0.116,1.326,False,8.405,6.223,10.482,True
portscan,qk_mmd_zz,unsup,30,-2.529,-3.56,-1.597,True,5.351,3.106,7.424,True
unsw_recon,ks_max,lp32,30,0.214,-0.003,0.433,False,1.13,0.767,1.457,True
unsw_recon,ks_max,lp64,30,0.322,0.07,0.588,True,1.239,0.952,1.532,True
unsw_recon,ks_max,unsup,30,-0.811,-1.104,-0.516,True,0.106,-0.225,0.377,False
unsw_recon,qk_mmd_zz,lp32,30,0.019,-0.369,0.387,False,1.023,0.719,1.292,True
unsw_recon,qk_mmd_zz,lp64,30,0.183,-0.211,0.575,False,1.186,0.921,1.458,True
unsw_recon,qk_mmd_zz,unsup,30,-0.846,-1.249,-0.44,True,0.158,-0.005,0.328,False
ton_scanning,ks_max,lp32,30,2.296,1.151,3.625,True,0.934,0.534,1.358,True
ton_scanning,ks_max,lp64,30,2.446,1.232,3.916,True,1.084,0.793,1.459,True
ton_scanning,ks_max,unsup,30,-3.585,-5.944,-1.407,True,-4.947,-7.172,-2.947,True
ton_scanning,qk_mmd_zz,lp32,30,4.743,2.472,7.69,True,1.058,0.774,1.403,True
ton_scanning,qk_mmd_zz,lp64,30,4.74,2.517,7.557,True,1.054,0.772,1.402,True
ton_scanning,qk_mmd_zz,unsup,30,-1.579,-4.0,0.767,False,-5.264,-8.201,-2.651,True
