regime,detector,gate,n_seeds,BA_noadapt,BA,gain_pts,commits,triggers,rejections,labels
portscan,ks_max,none,30,0.86082,0.93872,7.79,3.47,3.47,0.0,0.0
portscan,ks_max,lp32,30,0.86082,0.94352,8.27,3.13,3.77,0.63,120.5
portscan,ks_max,lp64,30,0.86082,0.94435,8.353,3.03,4.03,1.0,258.1
portscan,ks_max,unsup,30,0.86082,0.91763,5.681,0.83,6.5,5.67,0.0
portscan,qk_mmd_zz,none,30,0.86082,0.93962,7.88,4.33,4.33,0.0,0.0
portscan,qk_mmd_zz,lp32,30,0.86082,0.94456,8.374,3.8,4.9,1.1,156.8
portscan,qk_mmd_zz,lp64,30,0.86082,0.94487,8.405,3.6,5.03,1.43,322.1
portscan,qk_mmd_zz,unsup,30,0.86082,0.91433,5.351,0.87,7.33,6.47,0.0
unsw_recon,ks_max,none,30,0.83455,0.84372,0.917,2.7,2.7,0.0,0.0
unsw_recon,ks_max,lp32,30,0.83455,0.84586,1.13,2.57,3.17,0.6,101.3
unsw_recon,ks_max,lp64,30,0.83455,0.84694,1.239,2.4,3.53,1.13,226.1
unsw_recon,ks_max,unsup,30,0.83455,0.83561,0.106,0.17,6.93,6.77,0.0
unsw_recon,qk_mmd_zz,none,30,0.83455,0.84459,1.003,2.7,2.7,0.0,0.0
unsw_recon,qk_mmd_zz,lp32,30,0.83455,0.84478,1.023,2.3,3.1,0.8,99.2
unsw_recon,qk_mmd_zz,lp64,30,0.83455,0.84641,1.186,2.3,2.93,0.63,187.7
unsw_recon,qk_mmd_zz,unsup,30,0.83455,0.83613,0.158,0.1,6.9,6.8,0.0
ton_scanning,ks_max,none,30,0.92225,0.90863,-1.362,2.57,2.57,0.0,0.0
ton_scanning,ks_max,lp32,30,0.92225,0.93159,0.934,2.2,3.37,1.17,107.7
ton_scanning,ks_max,lp64,30,0.92225,0.93308,1.084,2.03,3.3,1.27,211.2
ton_scanning,ks_max,unsup,30,0.92225,0.87277,-4.947,1.03,5.07,4.03,0.0
ton_scanning,qk_mmd_zz,none,30,0.92225,0.8854,-3.685,2.87,2.87,0.0,0.0
ton_scanning,qk_mmd_zz,lp32,30,0.92225,0.93282,1.058,2.4,3.67,1.27,117.3
ton_scanning,qk_mmd_zz,lp64,30,0.92225,0.93279,1.054,2.07,3.87,1.8,247.5
ton_scanning,qk_mmd_zz,unsup,30,0.92225,0.8696,-5.264,1.0,5.4,4.4,0.0
