downstream,regime,n_seeds,noadapt_BA,naive_BA,gate_BA,naive_gain,gate_gain,harm_reproduced,gate_avoids_harm,gate_beats_naive
svc_rbf,portscan,30,0.8608,0.9387,0.9435,7.79,8.27,False,True,True
svc_rbf,unsw_recon,30,0.8346,0.8437,0.8459,0.92,1.13,False,True,True
svc_rbf,ton_scanning,30,0.9222,0.9086,0.9316,-1.36,0.93,True,True,True
random_forest,portscan,20,0.6957,0.9731,0.9731,27.73,27.74,False,True,True
random_forest,unsw_recon,20,0.862,0.8851,0.884,2.31,2.2,False,True,True
random_forest,ton_scanning,20,0.9702,0.989,0.9889,1.88,1.87,False,True,True
logreg,portscan,20,0.9387,0.9533,0.953,1.46,1.43,False,True,True
logreg,unsw_recon,20,0.7185,0.7615,0.7715,4.29,5.3,False,True,True
logreg,ton_scanning,20,0.8424,0.9093,0.9114,6.7,6.91,False,True,True
mlp,portscan,20,0.6892,0.96,0.9596,27.08,27.04,False,True,True
mlp,unsw_recon,20,0.8681,0.8781,0.8796,1.0,1.15,False,True,True
mlp,ton_scanning,20,0.9478,0.9502,0.9524,0.24,0.46,False,True,True
