downstream,regime,gate,n,d_vs_naive,naive_ci,d_vs_noadapt,noadapt_ci,sig_worse_noadapt,sig_worse_naive
svc_rbf,portscan,atc,30,-1.86,"[-3.48,-0.17]",5.93,"[+4.07,+7.78]",False,True
svc_rbf,portscan,doc,30,-4.64,"[-6.86,-2.26]",3.15,"[+1.78,+4.69]",False,True
svc_rbf,unsw_recon,atc,30,0.1,"[-0.25,+0.44]",1.02,"[+0.71,+1.32]",False,False
svc_rbf,unsw_recon,doc,30,-0.12,"[-0.51,+0.25]",0.8,"[+0.45,+1.13]",False,False
svc_rbf,ton_scanning,atc,30,1.77,"[+0.44,+3.29]",0.4,"[-0.40,+1.12]",False,False
svc_rbf,ton_scanning,doc,30,2.53,"[+1.34,+3.95]",1.16,"[+0.88,+1.52]",False,False
random_forest,portscan,atc,30,-2.14,"[-4.05,-0.72]",25.22,"[+23.29,+26.71]",False,True
random_forest,portscan,doc,30,-0.61,"[-1.16,-0.15]",26.75,"[+25.89,+27.46]",False,True
random_forest,unsw_recon,atc,30,-0.07,"[-0.24,+0.10]",2.25,"[+2.05,+2.44]",False,False
random_forest,unsw_recon,doc,30,0.12,"[-0.06,+0.30]",2.43,"[+2.21,+2.66]",False,False
random_forest,ton_scanning,atc,30,-0.01,"[-0.09,+0.07]",1.59,"[+1.09,+2.24]",False,False
random_forest,ton_scanning,doc,30,0.01,"[-0.04,+0.07]",1.61,"[+1.10,+2.22]",False,False
