regime,policy,gain,commits,total_labels,model_grows,can_reject
portscan,naive,8.252,3.2,3277.0,False,False
portscan,labeled_probe_b32,9.12,3.0,4013.0,False,True
portscan,holdout_dedup,9.082,2.8,4130.0,False,True
portscan,lcb_b64,8.51,1.63,6238.0,False,True
portscan,two_stage_split_d05,7.872,1.33,1824.0,False,True
portscan,ensemble_cal,8.551,3.2,3277.0,True,False
portscan,ddm_river_b8,8.283,1.23,2063.0,False,False
portscan,sliding_window,8.041,3.2,3277.0,False,False
unsw_recon,naive,1.208,2.6,2662.0,False,False
unsw_recon,labeled_probe_b32,1.352,2.33,3238.0,False,True
unsw_recon,holdout_dedup,0.899,2.47,3482.0,False,True
unsw_recon,lcb_b64,1.237,1.17,5658.0,False,True
unsw_recon,two_stage_split_d05,1.38,1.77,2283.0,False,True
unsw_recon,ensemble_cal,1.721,2.6,2662.0,True,False
unsw_recon,ddm_river_b8,0.138,1.0,1824.0,False,False
unsw_recon,sliding_window,0.96,2.6,2662.0,False,False
ton_scanning,naive,-1.638,2.53,2594.0,False,False
ton_scanning,labeled_probe_b32,0.788,2.07,3626.0,False,True
ton_scanning,holdout_dedup,-0.77,2.03,3413.0,False,True
ton_scanning,lcb_b64,0.34,0.63,6202.0,False,True
ton_scanning,two_stage_split_d05,0.154,0.77,1341.0,False,True
ton_scanning,ensemble_cal,0.558,2.53,2594.0,True,False
ton_scanning,ddm_river_b8,-2.226,0.73,1551.0,False,False
ton_scanning,sliding_window,-2.437,2.53,2594.0,False,False
