regime,policy,c_label,c_update,utility
portscan,naive,0.1,50,569.0
portscan,naive,1.0,50,-2381.0
portscan,naive,0.1,500,-871.0
portscan,naive,1.0,500,-3821.0
portscan,labeled_probe_b32,0.1,50,616.0
portscan,labeled_probe_b32,1.0,50,-2995.0
portscan,labeled_probe_b32,0.1,500,-734.0
portscan,labeled_probe_b32,1.0,500,-4345.0
portscan,holdout_dedup,0.1,50,609.0
portscan,holdout_dedup,1.0,50,-3108.0
portscan,holdout_dedup,0.1,500,-651.0
portscan,holdout_dedup,1.0,500,-4368.0
portscan,lcb_b64,0.1,50,384.0
portscan,lcb_b64,1.0,50,-5230.0
portscan,lcb_b64,0.1,500,-351.0
portscan,lcb_b64,1.0,500,-5965.0
portscan,two_stage_split_d05,0.1,50,759.0
portscan,two_stage_split_d05,1.0,50,-883.0
portscan,two_stage_split_d05,0.1,500,159.0
portscan,two_stage_split_d05,1.0,500,-1483.0
portscan,ensemble_cal,0.1,50,607.0
portscan,ensemble_cal,1.0,50,-2342.0
portscan,ensemble_cal,0.1,500,-833.0
portscan,ensemble_cal,1.0,500,-3782.0
portscan,ddm_river_b8,0.1,50,792.0
portscan,ddm_river_b8,1.0,50,-1064.0
portscan,ddm_river_b8,0.1,500,237.0
portscan,ddm_river_b8,1.0,500,-1619.0
portscan,sliding_window,0.1,50,542.0
portscan,sliding_window,1.0,50,-2408.0
portscan,sliding_window,0.1,500,-898.0
portscan,sliding_window,1.0,500,-3848.0
unsw_recon,naive,0.1,50,-242.0
unsw_recon,naive,1.0,50,-2638.0
unsw_recon,naive,0.1,500,-1412.0
unsw_recon,naive,1.0,500,-3808.0
unsw_recon,labeled_probe_b32,0.1,50,-267.0
unsw_recon,labeled_probe_b32,1.0,50,-3182.0
unsw_recon,labeled_probe_b32,0.1,500,-1317.0
unsw_recon,labeled_probe_b32,1.0,500,-4232.0
unsw_recon,holdout_dedup,0.1,50,-356.0
unsw_recon,holdout_dedup,1.0,50,-3490.0
unsw_recon,holdout_dedup,0.1,500,-1466.0
unsw_recon,holdout_dedup,1.0,500,-4600.0
unsw_recon,lcb_b64,0.1,50,-466.0
unsw_recon,lcb_b64,1.0,50,-5558.0
unsw_recon,lcb_b64,0.1,500,-991.0
unsw_recon,lcb_b64,1.0,500,-6083.0
unsw_recon,two_stage_split_d05,0.1,50,-140.0
unsw_recon,two_stage_split_d05,1.0,50,-2194.0
unsw_recon,two_stage_split_d05,0.1,500,-935.0
unsw_recon,two_stage_split_d05,1.0,500,-2989.0
unsw_recon,ensemble_cal,0.1,50,-176.0
unsw_recon,ensemble_cal,1.0,50,-2572.0
unsw_recon,ensemble_cal,0.1,500,-1346.0
unsw_recon,ensemble_cal,1.0,500,-3742.0
unsw_recon,ddm_river_b8,0.1,50,-215.0
unsw_recon,ddm_river_b8,1.0,50,-1856.0
unsw_recon,ddm_river_b8,0.1,500,-665.0
unsw_recon,ddm_river_b8,1.0,500,-2306.0
unsw_recon,sliding_window,0.1,50,-273.0
unsw_recon,sliding_window,1.0,50,-2670.0
unsw_recon,sliding_window,0.1,500,-1443.0
unsw_recon,sliding_window,1.0,500,-3840.0
ton_scanning,naive,0.1,50,-596.0
ton_scanning,naive,1.0,50,-2930.0
ton_scanning,naive,0.1,500,-1736.0
ton_scanning,naive,1.0,500,-4070.0
ton_scanning,labeled_probe_b32,0.1,50,-365.0
ton_scanning,labeled_probe_b32,1.0,50,-3628.0
ton_scanning,labeled_probe_b32,0.1,500,-1295.0
ton_scanning,labeled_probe_b32,1.0,500,-4558.0
ton_scanning,holdout_dedup,0.1,50,-542.0
ton_scanning,holdout_dedup,1.0,50,-3614.0
ton_scanning,holdout_dedup,0.1,500,-1456.0
ton_scanning,holdout_dedup,1.0,500,-4528.0
ton_scanning,lcb_b64,0.1,50,-608.0
ton_scanning,lcb_b64,1.0,50,-6190.0
ton_scanning,lcb_b64,0.1,500,-893.0
ton_scanning,lcb_b64,1.0,500,-6475.0
ton_scanning,two_stage_split_d05,0.1,50,-153.0
ton_scanning,two_stage_split_d05,1.0,50,-1359.0
ton_scanning,two_stage_split_d05,0.1,500,-498.0
ton_scanning,two_stage_split_d05,1.0,500,-1704.0
ton_scanning,ensemble_cal,0.1,50,-315.0
ton_scanning,ensemble_cal,1.0,50,-2649.0
ton_scanning,ensemble_cal,0.1,500,-1455.0
ton_scanning,ensemble_cal,1.0,500,-3789.0
ton_scanning,ddm_river_b8,0.1,50,-477.0
ton_scanning,ddm_river_b8,1.0,50,-1873.0
ton_scanning,ddm_river_b8,0.1,500,-807.0
ton_scanning,ddm_river_b8,1.0,500,-2202.0
ton_scanning,sliding_window,0.1,50,-698.0
ton_scanning,sliding_window,1.0,50,-3033.0
ton_scanning,sliding_window,0.1,500,-1838.0
ton_scanning,sliding_window,1.0,500,-4173.0
