baseline,lambda_cost,gamma_cost,mean_utility_diff_qk_minus_baseline,ci95_low,ci95_high,prob_diff_gt_0,qk_better_ci95
KS-max,0.25,0.0,0.8359375,0.056503906250000006,1.934388020833333,0.6333333333333333,True
MMD-RBF,0.25,0.0,0.7255208333333333,0.0762760416666667,1.5273502604166667,0.5333333333333333,True
MMD-RBF,0.25,0.01,0.6814140849322624,0.03212242066222817,1.4833513813295538,0.5333333333333333,True
Energy distance,0.5,0.0,1.06015625,0.41560546875000004,1.759388020833333,0.7,True
KS-max,0.5,0.0,0.9109375,0.15207682291666666,1.9836458333333327,0.6333333333333333,True
MMD-RBF,0.5,0.0,0.9588541666666667,0.3075260416666667,1.7523502604166667,0.6,True
Energy distance,0.5,0.01,1.000201849568092,0.35545690589121853,1.699921127895092,0.7,True
KS-max,0.5,0.01,0.8524756706321687,0.09317428190512408,1.925459601365131,0.6,True
MMD-RBF,0.5,0.01,0.9147474182655958,0.26324257067795664,1.7074827386726419,0.6,True
Energy distance,0.5,0.05,0.7603842478404597,0.11556165641864931,1.4612454005724136,0.7,True
MMD-RBF,0.5,0.05,0.7383204246613119,0.08665111421943578,1.531136346238481,0.5333333333333333,True
Energy distance,1.0,0.0,2.11015625,1.3505143229166667,2.8846484375,0.9,True
JSD,1.0,0.0,0.8166666666666667,0.09504557291666667,1.76875,0.7,True
KS-max,1.0,0.0,1.0609375,0.31640625,2.0948046875,0.7,True
MMD-RBF,1.0,0.0,1.4255208333333333,0.746328125,2.21927734375,0.8,True
Energy distance,1.0,0.01,2.050201849568092,1.2901787955460788,2.8249132426326966,0.8666666666666667,True
JSD,1.0,0.01,0.7563941135659893,0.034949540091037075,1.7085616189462787,0.7,True
KS-max,1.0,0.01,1.002475670632169,0.25817030181255185,2.0365593025570834,0.6666666666666666,True
MMD-RBF,1.0,0.01,1.3814140849322625,0.7017903952930892,2.175140859280563,0.8,True
Energy distance,1.0,0.05,1.8103842478404597,1.0489114082982074,2.5859889366462543,0.8666666666666667,True
KS-max,1.0,0.05,0.7686283531608449,0.024371535244747028,1.8015174197630588,0.6666666666666666,True
MMD-RBF,1.0,0.05,1.2049870913279788,0.523657545886124,1.9974792602569649,0.7,True
Energy distance,1.0,0.1,1.51061224568092,0.7473662971859447,2.2872476115604408,0.8,True
MMD-RBF,1.0,0.1,0.984453349322624,0.3037073384134565,1.776198505578534,0.6333333333333333,True
Energy distance,2.0,0.0,4.21015625,3.16740234375,5.198450520833333,0.9666666666666667,True
JSD,2.0,0.0,1.25,0.3856705729166667,2.3107161458333327,0.7333333333333333,True
KS-max,2.0,0.0,1.3609375,0.5648111979166667,2.3455859375,0.7,True
MMD-RBF,2.0,0.0,2.3588541666666667,1.5439908854166666,3.237513020833333,0.8,True
Energy distance,2.0,0.01,4.150201849568092,3.106775327511362,5.138724199513435,0.9666666666666667,True
JSD,2.0,0.01,1.1897274468993224,0.32505622193513545,2.250118466784681,0.7333333333333333,True
KS-max,2.0,0.01,1.302475670632169,0.5062568290515279,2.287423369890367,0.6666666666666666,True
MMD-RBF,2.0,0.01,2.3147474182655956,1.4994877180053336,3.1939471771509482,0.8,True
Energy distance,2.0,0.05,3.91038424784046,2.865580089101258,4.898956092383999,0.9333333333333333,True
JSD,2.0,0.05,0.9486372344966123,0.08343095590031091,2.009584322506465,0.7,True
KS-max,2.0,0.05,1.0686283531608451,0.27206956958681017,2.0532796350059406,0.6666666666666666,True
MMD-RBF,2.0,0.05,2.1383204246613117,1.3214750483600026,3.017819836776291,0.7666666666666667,True
Energy distance,2.0,0.1,3.61061224568092,2.5633889075485357,4.599410994659381,0.9333333333333333,True
MMD-RBF,2.0,0.1,1.9177866826559573,1.1018307451087552,2.796624266588566,0.7666666666666667,True
Energy distance,2.0,0.25,2.711296239202299,1.6591706512978512,3.702798675101027,0.8666666666666667,True
MMD-RBF,2.0,0.25,1.2561854566398931,0.44059910928520063,2.1316909363313603,0.7666666666666667,True
