method_a,method_b,metric,n_pairs,mean_diff_a_minus_b,ci95_low,ci95_high,prob_diff_gt_0,positive_means,interpretation
QK-MMD ZZ,MMD-RBF,mean_balanced_accuracy,30,0.006078124999999998,-0.0015444010416666648,0.015382812499999983,0.4666666666666667,QK better,Positive means QK has higher mean balanced accuracy than MMD-RBF.
MMD-RBF,QK-MMD ZZ,cumulative_error_area,30,0.6078125,-0.15444010416666665,1.53828125,0.4666666666666667,QK better,"Positive means MMD-RBF has larger cumulative error area, so QK has lower degradation."
QK-MMD ZZ,MMD-RBF,cumulative_gain_vs_no_adapt,30,0.6078125,-0.15444010416666665,1.53828125,0.4666666666666667,QK better,Positive means QK has larger cumulative gain versus no adaptation.
MMD-RBF,QK-MMD ZZ,n_adaptations,30,1.1,0.8333333333333334,1.3666666666666667,0.8,QK fewer readaptations,Positive means MMD-RBF uses more readaptations than QK.
QK-MMD ZZ,MMD-RBF,detector_runtime_sec_total,30,4.129274153406731,4.077078149951994,4.180054029405679,1.0,QK more expensive,Positive means QK has higher detector runtime than MMD-RBF.
QK-MMD PauliXZ,MMD-RBF,mean_balanced_accuracy,30,0.003843749999999994,-0.005724283854166671,0.014054947916666644,0.43333333333333335,QK better,Positive means QK has higher mean balanced accuracy than MMD-RBF.
MMD-RBF,QK-MMD PauliXZ,cumulative_error_area,30,0.384375,-0.5724283854166666,1.4054947916666662,0.43333333333333335,QK better,"Positive means MMD-RBF has larger cumulative error area, so QK has lower degradation."
QK-MMD PauliXZ,MMD-RBF,cumulative_gain_vs_no_adapt,30,0.384375,-0.5724283854166666,1.4054947916666662,0.43333333333333335,QK better,Positive means QK has larger cumulative gain versus no adaptation.
MMD-RBF,QK-MMD PauliXZ,n_adaptations,30,1.1,0.8333333333333334,1.3666666666666667,0.8,QK fewer readaptations,Positive means MMD-RBF uses more readaptations than QK.
QK-MMD PauliXZ,MMD-RBF,detector_runtime_sec_total,30,4.553449103286645,4.493514962978661,4.611672004952367,1.0,QK more expensive,Positive means QK has higher detector runtime than MMD-RBF.
