axis,condition,n,d_vs_naive,naive_ci,naive_sig,d_vs_noadapt,noadapt_ci,noadapt_sig
baseline,lp32 (SVC),30,2.3,"[+1.15,+3.63]",True,0.93,"[+0.54,+1.38]",True
downstream,random_forest,20,-0.01,"[-0.06,+0.04]",False,1.87,"[+1.17,+2.71]",True
downstream,logreg,20,0.21,"[-0.09,+0.49]",False,6.91,"[+4.47,+9.37]",True
downstream,mlp,20,0.22,"[-0.15,+0.58]",False,0.46,"[-0.17,+1.06]",False
latency,lag5,20,2.48,"[+0.90,+4.50]",True,1.22,"[+0.82,+1.76]",True
latency,lag10,20,2.56,"[+1.02,+4.55]",True,1.3,"[+0.90,+1.82]",True
latency,lag20,20,2.45,"[+0.85,+4.45]",True,1.2,"[+0.79,+1.74]",True
poison,10%,20,2.38,"[+0.83,+4.28]",True,1.12,"[+0.62,+1.69]",True
poison,20%,20,2.38,"[+0.84,+4.34]",True,1.13,"[+0.63,+1.70]",True
poison,40%,20,1.82,"[+0.29,+3.53]",True,0.57,"[-0.19,+1.32]",False
