severity,method,traffic_volume,post_alarm_delta_vs_mmd,additional_detected_flow_equiv_vs_mmd,clean_gain_delta_vs_mmd,false_alarm_delta_vs_mmd,runtime_ratio_vs_mmd,extra_runtime_sec_vs_mmd,additional_detected_per_extra_runtime_sec
0.75,QK-MMD PauliXZ,10000000,0.0816666666666666,816666.6666666666,7.812499999998446e-05,0.0,3.135841540030195,0.5101003366949348,1600992.2125479279
0.75,QK-MMD PauliXZ,100000000,0.0816666666666666,8166666.666666667,7.812499999998446e-05,0.0,3.135841540030195,0.5101003366949348,16009922.12547928
0.75,QK-MMD ZZ,10000000,0.0716666666666666,716666.6666666665,7.812499999998446e-05,0.0,3.0619925261330057,0.49246307000285017,1455269.8675710217
0.75,QK-MMD ZZ,100000000,0.0716666666666666,7166666.666666666,7.812499999998446e-05,0.0,3.0619925261330057,0.49246307000285017,14552698.675710218
1.0,QK-MMD PauliXZ,1000000,0.3366666666666667,336666.66666666674,0.0085286458333334,-0.0333333333333333,3.196596079071536,0.5193981833406724,648186.068925558
1.0,QK-MMD PauliXZ,10000000,0.3366666666666667,3366666.6666666674,0.0085286458333334,-0.0333333333333333,3.196596079071536,0.5193981833406724,6481860.68925558
1.0,QK-MMD PauliXZ,100000000,0.3366666666666667,33666666.66666667,0.0085286458333334,-0.0333333333333333,3.196596079071536,0.5193981833406724,64818606.892555796
1.0,QK-MMD ZZ,1000000,0.3066666666666667,306666.6666666667,0.0085286458333334,-0.0333333333333333,3.1080487991627113,0.4984606533311309,615227.4299230312
1.0,QK-MMD ZZ,10000000,0.3066666666666667,3066666.666666667,0.0085286458333334,-0.0333333333333333,3.1080487991627113,0.4984606533311309,6152274.299230313
1.0,QK-MMD ZZ,100000000,0.3066666666666667,30666666.66666667,0.0085286458333334,-0.0333333333333333,3.1080487991627113,0.4984606533311309,61522742.99230313
