source,tier,path,seed,method,scenario,window,balanced_accuracy,adapted
,,,1,no_adaptation,paulixz_r1,0,0.9375,0.0
,,,1,no_adaptation,paulixz_r1,1,0.921875,0.0
,,,1,no_adaptation,paulixz_r1,2,0.9453125,0.0
,,,1,no_adaptation,paulixz_r1,3,0.9296875,0.0
,,,1,no_adaptation,paulixz_r1,4,0.9375,0.0
,,,1,no_adaptation,paulixz_r1,5,0.9140625,0.0
,,,1,no_adaptation,paulixz_r1,6,0.9453125,0.0
,,,1,no_adaptation,paulixz_r1,7,0.9375,0.0
,,,1,no_adaptation,paulixz_r1,8,0.9140625,0.0
,,,1,no_adaptation,paulixz_r1,9,0.9140625,0.0
,,,1,no_adaptation,paulixz_r1,10,0.9140625,0.0
,,,1,no_adaptation,paulixz_r1,11,0.921875,0.0
,,,1,no_adaptation,paulixz_r1,12,0.9296875,0.0
,,,1,no_adaptation,paulixz_r1,13,0.890625,0.0
,,,1,no_adaptation,paulixz_r1,14,0.890625,0.0
,,,1,no_adaptation,paulixz_r1,15,0.8828125,0.0
,,,1,no_adaptation,paulixz_r1,16,0.859375,0.0
,,,1,no_adaptation,paulixz_r1,17,0.9140625,0.0
,,,1,no_adaptation,paulixz_r1,18,0.890625,0.0
,,,1,no_adaptation,paulixz_r1,19,0.875,0.0
,,,1,no_adaptation,paulixz_r1,20,0.890625,0.0
,,,1,no_adaptation,paulixz_r1,21,0.90625,0.0
,,,1,no_adaptation,paulixz_r1,22,0.890625,0.0
,,,1,no_adaptation,paulixz_r1,23,0.875,0.0
,,,1,no_adaptation,paulixz_r1,24,0.84375,0.0
,,,1,no_adaptation,paulixz_r1,25,0.875,0.0
,,,1,no_adaptation,paulixz_r1,26,0.8515625,0.0
,,,1,no_adaptation,paulixz_r1,27,0.875,0.0
,,,1,no_adaptation,paulixz_r1,28,0.875,0.0
,,,1,no_adaptation,paulixz_r1,29,0.8359375,0.0
,,,1,no_adaptation,paulixz_r1,30,0.8515625,0.0
,,,1,no_adaptation,paulixz_r1,31,0.875,0.0
,,,1,no_adaptation,paulixz_r1,32,0.859375,0.0
,,,1,no_adaptation,paulixz_r1,33,0.84375,0.0
,,,1,no_adaptation,paulixz_r1,34,0.8203125,0.0
,,,1,no_adaptation,paulixz_r1,35,0.796875,0.0
,,,1,no_adaptation,paulixz_r1,36,0.828125,0.0
,,,1,no_adaptation,paulixz_r1,37,0.828125,0.0
,,,1,no_adaptation,paulixz_r1,38,0.8046875,0.0
,,,1,no_adaptation,paulixz_r1,39,0.828125,0.0
,,,1,no_adaptation,paulixz_r1,40,0.7890625,0.0
,,,1,no_adaptation,paulixz_r1,41,0.8203125,0.0
,,,1,no_adaptation,paulixz_r1,42,0.875,0.0
,,,1,no_adaptation,paulixz_r1,43,0.8125,0.0
,,,1,no_adaptation,paulixz_r1,44,0.8203125,0.0
,,,1,no_adaptation,paulixz_r1,45,0.7109375,0.0
,,,1,no_adaptation,paulixz_r1,46,0.8046875,0.0
,,,1,no_adaptation,paulixz_r1,47,0.78125,0.0
,,,1,no_adaptation,paulixz_r1,48,0.765625,0.0
,,,1,no_adaptation,paulixz_r1,49,0.7734375,0.0
,,,1,no_adaptation,paulixz_r1,50,0.7265625,0.0
,,,1,no_adaptation,paulixz_r1,51,0.7265625,0.0
,,,1,no_adaptation,paulixz_r1,52,0.7734375,0.0
,,,1,no_adaptation,paulixz_r1,53,0.7421875,0.0
,,,1,no_adaptation,paulixz_r1,54,0.7578125,0.0
,,,1,no_adaptation,paulixz_r1,55,0.7734375,0.0
,,,1,no_adaptation,paulixz_r1,56,0.7265625,0.0
,,,1,no_adaptation,paulixz_r1,57,0.765625,0.0
,,,1,no_adaptation,paulixz_r1,58,0.8046875,0.0
,,,1,no_adaptation,paulixz_r1,59,0.7578125,0.0
,,,1,no_adaptation,paulixz_r1,60,0.6953125,0.0
,,,1,no_adaptation,paulixz_r1,61,0.7265625,0.0
,,,1,no_adaptation,paulixz_r1,62,0.734375,0.0
