source,tier,path,method,method_label,n_seeds,mean_balanced_accuracy,gain_vs_noadapt,error_area,n_adaptations,detector_runtime
paulixz_r1,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\paulixz_r1\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,10,0.7610390625,0.0,23.89609375,0.0,0.0
paulixz_r1,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\paulixz_r1\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,10,0.8807265624999999,11.96875,11.92734375,3.2,6.234160020179115
paulixz_r2,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\paulixz_r2\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,10,0.7610390625,0.0,23.89609375,0.0,0.0
paulixz_r2,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\paulixz_r2\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,10,0.8789296875,11.7890625,12.10703125,3.7,9.630509510287084
paulixz_r3,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\paulixz_r3\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,10,0.7610390625,0.0,23.89609375,0.0,0.0
paulixz_r3,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\paulixz_r3\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,10,0.886671875,12.56328125,11.3328125,3.7,13.491979539603928
zz_r1,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\zz_r1\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,10,0.7610390625,0.0,23.89609375,0.0,0.0
zz_r1,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\zz_r1\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,10,0.88665625,12.56171875,11.334375,3.1,5.69598446993623
zz_r2,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\zz_r2\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,10,0.7610390625,0.0,23.89609375,0.0,0.0
zz_r2,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\zz_r2\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,10,0.87715625,11.61171875,12.284375,3.2,9.190042420011014
zz_r3,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\zz_r3\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,10,0.7610390625,0.0,23.89609375,0.0,0.0
zz_r3,medium,results\raw\paper2_feature_map_sensitivity_medium_001\wednesday\zz_r3\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,10,0.883140625,12.21015625,11.6859375,3.3,12.130083390278742
paulixz_r1,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\paulixz_r1\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.7522135416666668,0.0,4.955729166666667,0.0,0.0
paulixz_r1,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\paulixz_r1\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.8744791666666667,2.4453125,2.5104166666666665,1.6666666666666667,1.2173308005246024
paulixz_r2,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\paulixz_r2\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.7522135416666668,0.0,4.955729166666667,0.0,0.0
paulixz_r2,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\paulixz_r2\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.8708333333333332,2.372395833333333,2.583333333333333,1.6666666666666667,1.9380246004244928
paulixz_r3,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\paulixz_r3\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.7522135416666668,0.0,4.955729166666667,0.0,0.0
paulixz_r3,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\paulixz_r3\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.8708333333333332,2.372395833333333,2.583333333333333,1.6666666666666667,2.651086467007796
zz_r1,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\zz_r1\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.7522135416666668,0.0,4.955729166666667,0.0,0.0
zz_r1,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\zz_r1\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8842447916666667,2.640625,2.3151041666666665,2.0,1.1234279000976433
zz_r2,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\zz_r2\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.7522135416666668,0.0,4.955729166666667,0.0,0.0
zz_r2,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\zz_r2\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8842447916666667,2.640625,2.3151041666666665,2.0,1.7594316663841407
zz_r3,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\zz_r3\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.7522135416666668,0.0,4.955729166666667,0.0,0.0
zz_r3,smoke,results\raw\paper2_feature_map_sensitivity_smoke_001\wednesday\zz_r3\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8842447916666667,2.640625,2.3151041666666665,2.0,2.385213800085088
paper2_progressive_cicids_tuesday_friday_ddos_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_final_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,30,0.8914166666666666,19.31145833333333,10.858333333333333,5.433333333333334,0.0402112165698781
paper2_progressive_cicids_tuesday_friday_ddos_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_final_001\paper2_progressive_readaptation_summary.csv,jsd,JSD,30,0.8900260416666667,19.172395833333333,10.997395833333334,4.166666666666667,0.0143176132153409
paper2_progressive_cicids_tuesday_friday_ddos_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_final_001\paper2_progressive_readaptation_summary.csv,ks_max,KS-max,30,0.8841458333333333,18.584375,11.585416666666667,3.8333333333333335,0.15698067000291
paper2_progressive_cicids_tuesday_friday_ddos_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_final_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,30,0.8854947916666667,18.719270833333333,11.450520833333334,4.366666666666666,1.857101536677995
paper2_progressive_cicids_tuesday_friday_ddos_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_final_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,30,0.6983020833333333,0.0,30.169791666666665,0.0,0.0
paper2_progressive_cicids_tuesday_friday_ddos_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,30,0.8884348958333333,19.01328125,11.156510416666666,3.533333333333333,6.511848599968167
paper2_progressive_cicids_tuesday_friday_ddos_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,30,0.8932708333333333,19.496875,10.672916666666667,3.6,6.070540823457607
paper2_progressive_cicids_tuesday_friday_ddos_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,3,0.8841145833333334,4.166666666666667,2.317708333333333,2.0,0.0082424665646006
paper2_progressive_cicids_tuesday_friday_ddos_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,jsd,JSD,3,0.8932291666666666,4.348958333333333,2.1354166666666665,2.0,0.0028587335643048
paper2_progressive_cicids_tuesday_friday_ddos_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,ks_max,KS-max,3,0.8950520833333333,4.385416666666667,2.098958333333333,2.0,0.034150066669099
paper2_progressive_cicids_tuesday_friday_ddos_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,3,0.901171875,4.5078125,1.9765625,2.0,0.3519747664686292
paper2_progressive_cicids_tuesday_friday_ddos_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.67578125,0.0,6.484375,0.0,0.0
paper2_progressive_cicids_tuesday_friday_ddos_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.865625,3.796875,2.6875,2.0,1.2197117667334776
paper2_progressive_cicids_tuesday_friday_ddos_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_ddos_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8721354166666666,3.9270833333333335,2.5572916666666665,2.0,1.1413452664855868
paper2_progressive_cicids_tuesday_friday_portscan_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_final_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,30,0.9326692708333332,5.559375,6.733072916666667,2.7,0.0555300434740881
paper2_progressive_cicids_tuesday_friday_portscan_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_final_001\paper2_progressive_readaptation_summary.csv,jsd,JSD,30,0.9229765625,4.590104166666666,7.70234375,3.866666666666666,0.021419076664218
paper2_progressive_cicids_tuesday_friday_portscan_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_final_001\paper2_progressive_readaptation_summary.csv,ks_max,KS-max,30,0.9325572916666668,5.548177083333333,6.744270833333333,3.333333333333333,0.1997140533717659
paper2_progressive_cicids_tuesday_friday_portscan_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_final_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,30,0.9064765625,2.9401041666666665,9.35234375,2.5,1.658448929945007
paper2_progressive_cicids_tuesday_friday_portscan_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_final_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,30,0.8770755208333333,0.0,12.292447916666667,0.0,0.0
paper2_progressive_cicids_tuesday_friday_portscan_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,30,0.9307682291666668,5.369270833333333,6.923177083333333,4.166666666666667,6.405552300003667
paper2_progressive_cicids_tuesday_friday_portscan_final_001,final,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,30,0.9391145833333332,6.20390625,6.088541666666667,4.066666666666666,6.113158363422069
paper2_progressive_cicids_tuesday_friday_portscan_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_smoke_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,3,0.9294270833333332,1.2291666666666667,1.4114583333333333,2.0,0.0085222667160754
paper2_progressive_cicids_tuesday_friday_portscan_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_smoke_001\paper2_progressive_readaptation_summary.csv,jsd,JSD,3,0.92734375,1.1875,1.453125,2.0,0.0028413666101793
paper2_progressive_cicids_tuesday_friday_portscan_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_smoke_001\paper2_progressive_readaptation_summary.csv,ks_max,KS-max,3,0.932421875,1.2890625,1.3515625,2.0,0.0321831668649489
paper2_progressive_cicids_tuesday_friday_portscan_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_smoke_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,3,0.9005208333333332,0.6510416666666666,1.9895833333333333,1.6666666666666667,0.3719667999151473
paper2_progressive_cicids_tuesday_friday_portscan_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_smoke_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.8679687500000001,0.0,2.640625,0.0,0.0
paper2_progressive_cicids_tuesday_friday_portscan_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.9322916666666666,1.2864583333333333,1.3541666666666667,2.0,1.2009557333076373
paper2_progressive_cicids_tuesday_friday_portscan_smoke_001,smoke,results\raw\paper2_progressive_cicids_tuesday_friday_portscan_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8653645833333333,-0.0520833333333333,2.692708333333333,2.0,1.1378058999155958
paper2_progressive_classical_baselines_final_001,final,results\raw\paper2_progressive_classical_baselines_final_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,30,0.8847239583333334,11.879166666666666,11.527604166666666,5.266666666666667,0.0532729068732199
paper2_progressive_classical_baselines_final_001,final,results\raw\paper2_progressive_classical_baselines_final_001\paper2_progressive_readaptation_summary.csv,jsd,JSD,30,0.8809921875000001,11.505989583333331,11.90078125,3.6,0.0214576399962728
paper2_progressive_classical_baselines_final_001,final,results\raw\paper2_progressive_classical_baselines_final_001\paper2_progressive_readaptation_summary.csv,ks_max,KS-max,30,0.8772161458333334,11.128385416666667,12.278385416666667,3.466666666666667,0.2025300132809206
paper2_progressive_classical_baselines_final_001,final,results\raw\paper2_progressive_classical_baselines_final_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,30,0.8799036458333334,11.397135416666666,12.009635416666669,4.1,1.63803810995693
paper2_progressive_classical_baselines_final_001,final,results\raw\paper2_progressive_classical_baselines_final_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,30,0.7659322916666667,0.0,23.406770833333333,0.0,0.0
paper2_progressive_classical_baselines_final_001,final,results\raw\paper2_progressive_classical_baselines_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,30,0.8784739583333334,11.254166666666666,12.152604166666666,3.2,6.416026426688768
paper2_progressive_classical_baselines_final_001,final,results\raw\paper2_progressive_classical_baselines_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,30,0.8848255208333333,11.889322916666666,11.517447916666669,3.1666666666666665,6.048712950064025
paper2_progressive_classical_baselines_smoke_001,smoke,results\raw\paper2_progressive_classical_baselines_smoke_001\paper2_progressive_readaptation_summary.csv,energy_distance,Energy distance,3,0.8997395833333334,2.950520833333333,2.005208333333333,2.0,0.0084893330931663
paper2_progressive_classical_baselines_smoke_001,smoke,results\raw\paper2_progressive_classical_baselines_smoke_001\paper2_progressive_readaptation_summary.csv,jsd,JSD,3,0.8869791666666668,2.6953125,2.2604166666666665,2.0,0.0035944332291061
paper2_progressive_classical_baselines_smoke_001,smoke,results\raw\paper2_progressive_classical_baselines_smoke_001\paper2_progressive_readaptation_summary.csv,ks_max,KS-max,3,0.8798177083333334,2.552083333333333,2.403645833333333,2.0,0.033004333381541
paper2_progressive_classical_baselines_smoke_001,smoke,results\raw\paper2_progressive_classical_baselines_smoke_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,3,0.8772135416666668,2.5,2.4557291666666665,2.0,0.3617364331536616
paper2_progressive_classical_baselines_smoke_001,smoke,results\raw\paper2_progressive_classical_baselines_smoke_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,3,0.7522135416666668,0.0,4.955729166666667,0.0,0.0
paper2_progressive_classical_baselines_smoke_001,smoke,results\raw\paper2_progressive_classical_baselines_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,3,0.8744791666666667,2.4453125,2.5104166666666665,1.6666666666666667,1.260782966390252
paper2_progressive_classical_baselines_smoke_001,smoke,results\raw\paper2_progressive_classical_baselines_smoke_001\paper2_progressive_readaptation_summary.csv,qk_mmd_zz,QK-MMD ZZ,3,0.8842447916666667,2.640625,2.3151041666666665,2.0,1.1668303000818316
paper2_progressive_readaptation_final_001,final,results\raw\paper2_progressive_readaptation_final_001\paper2_progressive_readaptation_summary.csv,mmd_rbf,MMD-RBF,30,0.879265625,15.179166666666667,12.0734375,4.433333333333334,1.7911269399298666
paper2_progressive_readaptation_final_001,final,results\raw\paper2_progressive_readaptation_final_001\paper2_progressive_readaptation_summary.csv,no_adaptation,No adaptation,30,0.7274739583333333,0.0,27.252604166666668,0.0,0.0
paper2_progressive_readaptation_final_001,final,results\raw\paper2_progressive_readaptation_final_001\paper2_progressive_readaptation_summary.csv,qk_mmd_pauli_xz,QK-MMD PauliXZ,30,0.8773307291666667,14.985677083333334,12.266927083333334,3.4,6.365957570227328
