scenario,method_a,method_b,metric,n_pairs,mean_diff_a_minus_b,ci95_low,ci95_high,ci_excludes_zero_positive,ci_excludes_zero_negative
UNSW-NB15 DoS,QK-MMD ZZ,Energy distance,mean_balanced_accuracy,10,-0.0013749999999999817,-0.011648632812499986,0.008429687500000015,False,False
UNSW-NB15 DoS,QK-MMD ZZ,Energy distance,cumulative_error_area,10,0.1375,-0.84296875,1.1648632812499997,False,False
UNSW-NB15 DoS,QK-MMD ZZ,Energy distance,cumulative_gain_vs_no_adapt,10,-0.1375,-1.16486328125,0.84296875,False,False
UNSW-NB15 DoS,QK-MMD ZZ,Energy distance,n_adaptations,10,-0.4,-0.9,0.1,False,False
UNSW-NB15 DoS,QK-MMD ZZ,Energy distance,detector_runtime_sec_total,10,6.934976640040986,6.6860193735483335,7.178932520467788,True,False
UNSW-NB15 DoS,QK-MMD ZZ,MMD-RBF,mean_balanced_accuracy,10,-0.005093749999999997,-0.012875000000000003,0.002523437500000003,False,False
UNSW-NB15 DoS,QK-MMD ZZ,MMD-RBF,cumulative_error_area,10,0.509375,-0.25234375,1.2875,False,False
UNSW-NB15 DoS,QK-MMD ZZ,MMD-RBF,cumulative_gain_vs_no_adapt,10,-0.509375,-1.2875,0.25234375,False,False
UNSW-NB15 DoS,QK-MMD ZZ,MMD-RBF,n_adaptations,10,0.4,0.1,0.7,True,False
UNSW-NB15 DoS,QK-MMD ZZ,MMD-RBF,detector_runtime_sec_total,10,3.0265027197776364,2.612766119139269,3.4710183101473375,True,False
UNSW-NB15 DoS,QK-MMD ZZ,KS-max,mean_balanced_accuracy,10,-0.009492187499999994,-0.023539062499999985,0.0045941406250000014,False,False
UNSW-NB15 DoS,QK-MMD ZZ,KS-max,cumulative_error_area,10,0.94921875,-0.45941406249999994,2.35390625,False,False
UNSW-NB15 DoS,QK-MMD ZZ,KS-max,cumulative_gain_vs_no_adapt,10,-0.94921875,-2.35390625,0.4594140624999994,False,False
UNSW-NB15 DoS,QK-MMD ZZ,KS-max,n_adaptations,10,-0.4,-1.0,0.2,False,False
UNSW-NB15 DoS,QK-MMD ZZ,KS-max,detector_runtime_sec_total,10,6.74072516981978,6.490659012044198,6.988538680552155,True,False
UNSW-NB15 DoS,QK-MMD ZZ,JSD,mean_balanced_accuracy,10,-0.007820312499999982,-0.016984765624999974,0.0012892578125000126,False,False
UNSW-NB15 DoS,QK-MMD ZZ,JSD,cumulative_error_area,10,0.78203125,-0.12892578124999998,1.6984765624999996,False,False
UNSW-NB15 DoS,QK-MMD ZZ,JSD,cumulative_gain_vs_no_adapt,10,-0.78203125,-1.6984765625,0.1289257812499997,False,False
UNSW-NB15 DoS,QK-MMD ZZ,JSD,n_adaptations,10,-0.1,-0.4,0.2,False,False
UNSW-NB15 DoS,QK-MMD ZZ,JSD,detector_runtime_sec_total,10,6.974716100096702,6.72371909110865,7.221075033118832,True,False
UNSW-NB15 DoS,QK-MMD ZZ,QK-MMD PauliXZ,mean_balanced_accuracy,10,-0.005156249999999985,-0.017695312499999994,0.007258007812500024,False,False
UNSW-NB15 DoS,QK-MMD ZZ,QK-MMD PauliXZ,cumulative_error_area,10,0.515625,-0.72580078125,1.76953125,False,False
UNSW-NB15 DoS,QK-MMD ZZ,QK-MMD PauliXZ,cumulative_gain_vs_no_adapt,10,-0.515625,-1.76953125,0.7258007812499998,False,False
UNSW-NB15 DoS,QK-MMD ZZ,QK-MMD PauliXZ,n_adaptations,10,-0.2,-0.6,0.2,False,False
UNSW-NB15 DoS,QK-MMD ZZ,QK-MMD PauliXZ,detector_runtime_sec_total,10,-0.2831848198082298,-0.37351992227951997,-0.18902195339847822,False,True
