scenario,method_a,method_b,metric,n_pairs,mean_diff_a_minus_b,ci95_low,ci95_high,ci_excludes_zero_positive,ci_excludes_zero_negative
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,Energy distance,mean_balanced_accuracy,10,-0.0026953125000000024,-0.006898632812499976,0.0017890624999999834,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,Energy distance,cumulative_error_area,10,0.26953125,-0.17890625,0.6898632812499997,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,Energy distance,cumulative_gain_vs_no_adapt,10,-0.26953125,-0.68986328125,0.17890625,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,Energy distance,n_adaptations,10,-0.1,-0.5,0.3,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,Energy distance,detector_runtime_sec_total,10,7.531655319966376,7.314969478697749,7.787157788490294,True,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,MMD-RBF,mean_balanced_accuracy,10,-0.002171875000000012,-0.007703125000000022,0.003531249999999975,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,MMD-RBF,cumulative_error_area,10,0.2171875,-0.353125,0.7703125,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,MMD-RBF,cumulative_gain_vs_no_adapt,10,-0.2171875,-0.7703125,0.353125,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,MMD-RBF,n_adaptations,10,-0.4,-0.7,-0.1,False,True
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,MMD-RBF,detector_runtime_sec_total,10,3.178144549811259,2.9624213862826583,3.465967286362429,True,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,KS-max,mean_balanced_accuracy,10,-0.0011796875000000151,-0.007234375000000015,0.0055785156249999945,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,KS-max,cumulative_error_area,10,0.11796875,-0.5578515625,0.7234375,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,KS-max,cumulative_gain_vs_no_adapt,10,-0.11796875,-0.7234375,0.5578515624999995,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,KS-max,n_adaptations,10,-0.3,-0.7,0.1,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,KS-max,detector_runtime_sec_total,10,7.329430049681105,7.114956725197844,7.581700915649999,True,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,JSD,mean_balanced_accuracy,10,0.001007812500000016,-0.003312499999999985,0.005164062499999999,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,JSD,cumulative_error_area,10,-0.10078125,-0.51640625,0.33125,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,JSD,cumulative_gain_vs_no_adapt,10,0.10078125,-0.33125,0.51640625,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,JSD,n_adaptations,10,0.1,-0.3,0.5,False,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,JSD,detector_runtime_sec_total,10,7.571012849919498,7.356723567493027,7.823171506057843,True,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,QK-MMD ZZ,mean_balanced_accuracy,10,-0.003718749999999993,-0.006890820312500005,-0.00021093749999999688,False,True
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,QK-MMD ZZ,cumulative_error_area,10,0.371875,0.02109375,0.6890820312499998,True,False
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,QK-MMD ZZ,cumulative_gain_vs_no_adapt,10,-0.371875,-0.68908203125,-0.02109375,False,True
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,QK-MMD ZZ,n_adaptations,10,-0.5,-0.9,-0.1,False,True
UNSW-NB15 Reconnaissance,QK-MMD PauliXZ,QK-MMD ZZ,detector_runtime_sec_total,10,0.351636340119876,0.21680514453852082,0.4767730207368731,True,False
