scenario,policy,candidate_size,arm,seed,ba,attack_f1,attack_recall,fpr,triggers,candidates_trained,commits,rejects,labels_total,labels_probe,labels_monitor,labels_candidate
ps_full,never,n/a,bh_ps_full_never,5001,0.812109375,0.7765546959373958,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5002,0.949921875,0.9510524231085377,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5003,0.798671875,0.7614354392138649,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5004,0.80375,0.7668565281289221,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5005,0.809375,0.7733796269850544,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5006,0.869375,0.8839122025000329,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5007,0.95328125,0.9551163617170324,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5008,0.956015625,0.9573889873809148,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5009,0.808359375,0.7759190930713932,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5010,0.80859375,0.7743621925880148,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5011,0.81640625,0.780436905643694,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5012,0.9546875,0.9559555817310048,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5013,0.795625,0.7642237930327195,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5014,0.948984375,0.9497972357418822,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5015,0.812265625,0.7770532986576594,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5016,0.812109375,0.7823902212403047,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5017,0.81234375,0.7747194236473561,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5018,0.87109375,0.8861167696615156,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5019,0.8015625,0.7656603784802081,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5020,0.81703125,0.7839873217887717,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5021,0.80515625,0.768996661707388,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5022,0.809609375,0.7753461969906321,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5023,0.8878125,0.8828566158763346,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5024,0.939375,0.9414757475673958,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5025,0.931015625,0.932022631692655,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5026,0.825,0.7918549219009263,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5027,0.943671875,0.9453484436275251,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5028,0.95265625,0.9541510335323901,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5029,0.881953125,0.8919039934896129,,,0,0,0,0,0,0,0,0
ps_full,never,n/a,bh_ps_full_never,5030,0.808515625,0.7732689903746581,,,0,0,0,0,0,0,0,0
ps_full,naive,2000,bh_ps_full_naive_2000,5001,0.958046875,0.9592247037126035,0.9821875,0.06609375,3,3,3,0,0,0,0,12000
ps_full,naive,2000,bh_ps_full_naive_2000,5002,0.964375,0.9655597101942465,0.99140625,0.06265625,3,3,3,0,0,0,0,12000
ps_full,naive,2000,bh_ps_full_naive_2000,5003,0.952890625,0.9537917114580436,0.97375,0.06796875,3,3,3,0,0,0,0,12000
ps_full,naive,2000,bh_ps_full_naive_2000,5004,0.9578125,0.9585579920502582,0.975625,0.06,3,3,3,0,0,0,0,12000
ps_full,naive,2000,bh_ps_full_naive_2000,5005,0.955,0.9561245859209246,0.97640625,0.06640625,4,4,4,0,0,0,0,16000
ps_full,naive,2000,bh_ps_full_naive_2000,5006,0.95265625,0.9548903700510827,0.97984375,0.07453125,5,5,5,0,0,0,0,20000
ps_full,naive,2000,bh_ps_full_naive_2000,5007,0.96015625,0.9613001468484572,0.9846875,0.064375,3,3,3,0,0,0,0,12000
ps_full,naive,2000,bh_ps_full_naive_2000,5008,0.960546875,0.9619067931552187,0.9878125,0.06671875,5,5,5,0,0,0,0,20000
ps_full,naive,2000,bh_ps_full_naive_2000,5009,0.9371875,0.9413026782117061,0.9790625,0.1046875,4,4,4,0,0,0,0,16000
ps_full,naive,2000,bh_ps_full_naive_2000,5010,0.94890625,0.9483663666928716,0.9509375,0.053125,3,3,3,0,0,0,0,12000
ps_full,naive,2000,bh_ps_full_naive_2000,5011,0.962890625,0.963736497110208,0.97921875,0.0534375,4,4,4,0,0,0,0,16000
ps_full,naive,2000,bh_ps_full_naive_2000,5012,0.96234375,0.9628586211038784,0.97703125,0.05234375,4,4,4,0,0,0,0,16000
ps_full,naive,2000,bh_ps_full_naive_2000,5013,0.95109375,0.9517966402339931,0.96578125,0.06359375,3,3,3,0,0,0,0,12000
ps_full,naive,2000,bh_ps_full_naive_2000,5014,0.966171875,0.9672850283908542,0.99046875,0.058125,3,3,3,0,0,0,0,12000
ps_full,naive,2000,bh_ps_full_naive_2000,5015,0.959296875,0.9600488467063159,0.976875,0.05828125,3,3,3,0,0,0,0,12000
