family,scenario,contrast,effect_pp,p_holm,classification
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: atc-2000 vs naive-2000,0.2711,0.03087969120308797,COMPATIBLE
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: atc-2000 vs naive-2000,-0.0378,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: atc-2000 vs naive-2000,-0.0047,1.0,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: atc-2000 vs naive-2000,-0.6451,0.1756982430175698,UNRESOLVED
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: atc-2000 vs naive-2000,-0.2198,0.0872391276087239,COMPATIBLE
PF2 full-drift benefit retention @2000,ton_full,ton_full: atc-2000 vs naive-2000,0.1023,0.2113978860211398,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: doc-2000 vs naive-2000,0.3951,0.001019989800101999,UNRESOLVED
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: doc-2000 vs naive-2000,-0.0159,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: doc-2000 vs naive-2000,0.0258,0.5235047649523505,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: doc-2000 vs naive-2000,-2.5896,0.005439945600543995,MATERIAL COST
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: doc-2000 vs naive-2000,-0.5872,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,ton_full,ton_full: doc-2000 vs naive-2000,0.2086,0.2168378316216838,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: enscal-2000 vs naive-2000,1.4635,0.00017999820001799984,MATERIAL GAIN
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: enscal-2000 vs naive-2000,0.0521,0.43784562154378454,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: enscal-2000 vs naive-2000,0.0224,1.0,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: enscal-2000 vs naive-2000,-0.0891,0.6433835661643383,COMPATIBLE
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: enscal-2000 vs naive-2000,-0.4216,0.00017999820001799984,COMPATIBLE
PF2 full-drift benefit retention @2000,ton_full,ton_full: enscal-2000 vs naive-2000,-0.2336,0.2168378316216838,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: replay-2000 vs naive-2000,0.1591,0.993510064899351,COMPATIBLE
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: replay-2000 vs naive-2000,-0.0203,1.0,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: replay-2000 vs naive-2000,-0.0141,1.0,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: replay-2000 vs naive-2000,-0.8932,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: replay-2000 vs naive-2000,-2.069,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,ton_full,ton_full: replay-2000 vs naive-2000,-1.2198,0.00017999820001799984,MATERIAL COST
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: ddm-2000 vs naive-2000,0.1544,1.0,UNRESOLVED
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: ddm-2000 vs naive-2000,-0.0724,0.6950330496695033,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: ddm-2000 vs naive-2000,-0.0812,1.0,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: ddm-2000 vs naive-2000,-0.7839,0.02918970810291897,MATERIAL COST
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: ddm-2000 vs naive-2000,-2.6701,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,ton_full,ton_full: ddm-2000 vs naive-2000,-1.8057,0.00017999820001799984,MATERIAL COST
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: adwin-2000 vs naive-2000,-0.2458,1.0,UNRESOLVED
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: adwin-2000 vs naive-2000,-0.0724,0.43784562154378454,COMPATIBLE
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: adwin-2000 vs naive-2000,-0.0201,1.0,COMPATIBLE
PF2 full-drift benefit retention @2000,ps_full,ps_full: adwin-2000 vs naive-2000,-8.7318,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: adwin-2000 vs naive-2000,-4.057,0.00017999820001799984,MATERIAL COST
PF2 full-drift benefit retention @2000,ton_full,ton_full: adwin-2000 vs naive-2000,-2.4969,0.00017999820001799984,MATERIAL COST
PF3 estimators vs point @2000,ps_full,ps_full: atc-2000 vs point-2000,-0.7294,0.14391856081439186,UNRESOLVED
PF3 estimators vs point @2000,unsw_full,unsw_full: atc-2000 vs point-2000,-0.2174,0.0914390856091439,COMPATIBLE
PF3 estimators vs point @2000,ton_full,ton_full: atc-2000 vs point-2000,-0.0958,1.0,COMPATIBLE
PF3 estimators vs point @2000,ps_zero,ps_zero: atc-2000 vs point-2000,0.0297,1.0,COMPATIBLE
PF3 estimators vs point @2000,unsw_zero,unsw_zero: atc-2000 vs point-2000,-0.0534,0.14391856081439186,COMPATIBLE
PF3 estimators vs point @2000,ton_zero,ton_zero: atc-2000 vs point-2000,-0.0122,1.0,COMPATIBLE
PF3 estimators vs point @2000,ps_full,ps_full: doc-2000 vs point-2000,-2.674,0.0052799472005279945,MATERIAL COST
