family,family_size,contrast,effect_pp,ci95_lo,ci95_hi,p_raw,p_holm,significant_holm,correction
PF1 zero-drift loss avoidance @2000,18,ps_zero: atc-2000 vs naive-2000,0.2711,0.1109,0.4487,0.0019299807001929982,0.03087969120308797,True,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: atc-2000 vs naive-2000,-0.0378,-0.0836,0.0081,0.1076189238107619,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: atc-2000 vs naive-2000,-0.0047,-0.0411,0.0281,0.7948420515794842,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ps_zero: doc-2000 vs naive-2000,0.3951,0.2161,0.5875,5.999940000599994e-05,0.001019989800101999,True,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: doc-2000 vs naive-2000,-0.0159,-0.0828,0.0542,0.6544834551654484,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: doc-2000 vs naive-2000,0.0258,0.0021,0.0513,0.04026959730402696,0.5235047649523505,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ps_zero: enscal-2000 vs naive-2000,1.4635,1.2531,1.6789,9.99990000099999e-06,0.00017999820001799984,True,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: enscal-2000 vs naive-2000,0.0521,0.0055,0.0995,0.02918970810291897,0.43784562154378454,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: enscal-2000 vs naive-2000,0.0224,-0.0169,0.0552,0.22357776422235778,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ps_zero: replay-2000 vs naive-2000,0.1591,-0.0164,0.3516,0.09031909680903191,0.993510064899351,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: replay-2000 vs naive-2000,-0.0203,-0.0844,0.0427,0.5307546924530755,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: replay-2000 vs naive-2000,-0.0141,-0.0617,0.0258,0.5339146608533915,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ps_zero: ddm-2000 vs naive-2000,0.1544,-0.5156,0.7474,0.6192138078619214,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: ddm-2000 vs naive-2000,-0.0724,-0.1461,0.0026,0.05791942080579194,0.6950330496695033,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: ddm-2000 vs naive-2000,-0.0812,-0.2453,0.0237,0.24995750042499576,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ps_zero: adwin-2000 vs naive-2000,-0.2458,-1.0018,0.3456,0.4843551564484355,1.0,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,unsw_zero: adwin-2000 vs naive-2000,-0.0724,-0.1362,-0.0044,0.03088969110308897,0.43784562154378454,False,Holm FWER
PF1 zero-drift loss avoidance @2000,18,ton_zero: adwin-2000 vs naive-2000,-0.0201,-0.0823,0.0331,0.4992650073499265,1.0,False,Holm FWER
PF2 full-drift benefit retention @2000,18,ps_full: atc-2000 vs naive-2000,-0.6451,-1.3089,-0.1003,0.035139648603513964,0.1756982430175698,False,Holm FWER
PF2 full-drift benefit retention @2000,18,unsw_full: atc-2000 vs naive-2000,-0.2198,-0.4008,-0.0479,0.014539854601453985,0.0872391276087239,False,Holm FWER
PF2 full-drift benefit retention @2000,18,ton_full: atc-2000 vs naive-2000,0.1023,0.0065,0.2148,0.05284947150528495,0.2113978860211398,False,Holm FWER
PF2 full-drift benefit retention @2000,18,ps_full: doc-2000 vs naive-2000,-2.5896,-4.1177,-1.2073,0.0006799932000679993,0.005439945600543995,True,Holm FWER
PF2 full-drift benefit retention @2000,18,unsw_full: doc-2000 vs naive-2000,-0.5872,-0.8461,-0.3326,1.999980000199998e-05,0.00017999820001799984,True,Holm FWER
