family,scenario,contrast,effect_pp,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_raw,p_ttest,p_wilcoxon,n_seeds,p_method
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: atc-2000 vs naive-2000,0.2711,0.1109,0.4487,0.1331,0.419,0.0019299807001929982,0.004550178595477823,0.013743593023451245,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: atc-2000 vs naive-2000,-0.0378,-0.0836,0.0081,-0.0763,0.0008,0.1076189238107619,0.12412525936067734,0.09613182451653121,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: atc-2000 vs naive-2000,-0.0047,-0.0411,0.0281,-0.0349,0.0229,0.7948420515794842,0.7957090934440567,0.7774153181787877,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ps_full,ps_full: atc-2000 vs naive-2000,-0.6451,-1.3089,-0.1003,-1.1951,-0.1714,0.035139648603513964,0.05209300891186598,0.14277775326005962,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,unsw_full,unsw_full: atc-2000 vs naive-2000,-0.2198,-0.4008,-0.0479,-0.3695,-0.0758,0.014539854601453985,0.022837305308993996,0.02977446084184663,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ton_full,ton_full: atc-2000 vs naive-2000,0.1023,0.0065,0.2148,0.0198,0.1956,0.05284947150528495,0.07066658510881088,0.06297905121445523,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ps_zero,ps_zero: doc-2000 vs naive-2000,0.3951,0.2161,0.5875,0.244,0.5539,5.999940000599994e-05,0.0002920582681409012,0.00046432380264866665,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,unsw_zero,unsw_zero: doc-2000 vs naive-2000,-0.0159,-0.0828,0.0542,-0.0727,0.0427,0.6544834551654484,0.6598750069501687,0.46362266957868614,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF1 zero-drift loss avoidance @2000,ton_zero,ton_zero: doc-2000 vs naive-2000,0.0258,0.0021,0.0513,0.0057,0.0471,0.04026959730402696,0.05368259418456523,0.10617971745057371,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
PF2 full-drift benefit retention @2000,ps_full,ps_full: doc-2000 vs naive-2000,-2.5896,-4.1177,-1.2073,-3.8698,-1.4128,0.0006799932000679993,0.001946488059473173,0.0014542725548750278,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
