arm,complete,duration_s,seeds,n_seeds,mode,adapt_size,trigger_mode,gate,source_commit,config_sha256
bh_ps_full_adwin_2000,True,87.7,5001-5030,30,run,2000,adwin_river,none,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_atc_2000,True,207.5,5001-5030,30,run,2000,detector,atc,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_atc_512,True,131.5,5001-5030,30,run,512,detector,atc,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_ddm_2000,True,122.9,5001-5030,30,run,2000,ddm_river,none,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_doc_2000,True,219.9,5001-5030,30,run,2000,detector,doc,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_doc_512,True,146.1,5001-5030,30,run,512,detector,doc,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_enscal_2000,True,262.0,5001-5030,30,run,2000,detector,none,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_enscal_512,True,172.1,5001-5030,30,run,512,detector,none,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_naive_2000,True,145.1,5001-5030,30,run,2000,detector,none,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_naive_512,True,104.3,5001-5030,30,run,512,detector,none,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_never,True,38.0,5001-5030,30,run,512,detector,none,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_point_2000,True,147.1,5001-5030,30,run,2000,detector,labeled_probe,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_point_512,True,107.8,5001-5030,30,run,512,detector,labeled_probe,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
bh_ps_full_replay_2000,True,152.7,5001-5030,30,run,2000,detector,none,9f58b6cb47c2,b6e4e1f6682f328427617510ea968f60f479279441029708937960db944d90e7
