family,scenario,contrast,effect_pp,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_raw,p_ttest,p_wilcoxon,n_seeds,p_method
G1 value of updating,ps_full,ps_full: naive-512 vs never,8.8971,6.3474,11.5714,6.7406,11.1354,9.99990000099999e-06,3.430728446533004e-07,1.30385160446167e-07,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G1 value of updating,ps_full,ps_full: naive-2000 vs never,9.7195,7.1005,12.3922,7.5208,11.974,9.99990000099999e-06,8.7639298854169e-08,4.283187254624714e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G1 value of updating,unsw_full,unsw_full: naive-512 vs never,2.1255,1.8573,2.3573,1.9047,2.3242,9.99990000099999e-06,3.2024115772856396e-16,1.919722783767457e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G1 value of updating,unsw_full,unsw_full: naive-2000 vs never,3.7872,3.5484,4.001,3.5893,3.969,9.99990000099999e-06,3.331875250727278e-24,1.733306644199106e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G1 value of updating,ton_full,ton_full: naive-512 vs never,1.444,0.8635,2.0891,0.9474,1.9812,2.999970000299997e-05,9.357261299036554e-05,0.0001303415883110598,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G1 value of updating,ton_full,ton_full: naive-2000 vs never,2.4424,1.8753,3.0797,1.9583,2.9701,9.99990000099999e-06,1.2474483572281045e-08,5.587935447692871e-09,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G2 size effect (primary),ps_full,ps_full: naive-2000 vs naive-512,0.8224,0.6711,0.9833,0.6937,0.957,9.99990000099999e-06,5.2144015031343364e-11,1.733306644199106e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G2 size effect (primary),unsw_full,unsw_full: naive-2000 vs naive-512,1.6617,1.5057,1.8104,1.5313,1.7883,9.99990000099999e-06,5.065355404251469e-19,1.862645149230957e-09,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G2 size effect (primary),ton_full,ton_full: naive-2000 vs naive-512,0.9984,0.6047,1.3883,0.6677,1.3242,9.99990000099999e-06,3.201019598503679e-05,2.6885420083999634e-05,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,ps_full,ps_full: point-2000 vs naive-2000,0.1479,-0.0313,0.3906,-0.0083,0.3458,0.16020839791602084,0.19360775437271321,0.13633893676745037,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,ps_full,ps_full: strict-2000 vs naive-2000,-0.0005,-0.1737,0.2268,-0.1503,0.1849,0.996850031499685,0.9960748301968694,0.20974910538723057,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,unsw_full,unsw_full: point-2000 vs naive-2000,-0.0622,-0.1591,0.0289,-0.1422,0.0151,0.1890581094189058,0.21157948061475793,0.1386406338132186,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,unsw_full,unsw_full: strict-2000 vs naive-2000,-0.3388,-0.5336,-0.1464,-0.5016,-0.1763,0.0007499925000749992,0.00216714783816545,0.005641516674132174,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,ton_full,ton_full: point-2000 vs naive-2000,0.0107,-0.0607,0.087,-0.0487,0.0737,0.7679223207767922,0.7793746009721207,0.6858304344516057,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G3 gate value at size 2000,ton_full,ton_full: strict-2000 vs naive-2000,-0.1357,-0.5596,0.2789,-0.4901,0.2164,0.5267147328526715,0.5390624782305924,0.6186247389425151,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G4 gate x size interaction (secondary),ps_full,ps_full: (point-naive)@2000 - (point-naive)@512,-0.0167,-0.1906,0.1523,-0.1633,0.1253,0.8506214937850621,0.8532324602703688,0.9031748075260909,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G4 gate x size interaction (secondary),ps_full,ps_full: (strict-naive)@2000 - (strict-naive)@512,0.1174,-0.1753,0.4419,-0.1326,0.3865,0.45879541204587954,0.47034898517340323,0.8450642441612733,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G4 gate x size interaction (secondary),unsw_full,unsw_full: (point-naive)@2000 - (point-naive)@512,-0.0841,-0.2885,0.1036,-0.2523,0.0768,0.3987860121398786,0.4167999114298047,0.42086289683963596,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G4 gate x size interaction (secondary),unsw_full,unsw_full: (strict-naive)@2000 - (strict-naive)@512,-0.3081,-0.5161,-0.0997,-0.4818,-0.1331,0.0038499615003849963,0.007785749775788796,0.004990403582584253,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G4 gate x size interaction (secondary),ton_full,ton_full: (point-naive)@2000 - (point-naive)@512,-0.4474,-0.8802,-0.0609,-0.8068,-0.1195,0.03190968090319097,0.04486769884609162,0.06734991793925268,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
G4 gate x size interaction (secondary),ton_full,ton_full: (strict-naive)@2000 - (strict-naive)@512,-0.4862,-0.9753,-0.0109,-0.8966,-0.0849,0.04994950050499495,0.06222765486852195,0.04508235295510379,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
