arm,complete,duration_s,seeds,n_seeds,candidate_size,nested_draw_domain,source_commit,mode,transformer_policy,config_sha256,derived_operational_from,raw_stream_hashes_sha256
smd_ps_full_naive_2000,True,125.8,6001-6030,30,2000,drift,9f1159a817be,run,own_transformer_per_model,2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,configs/symmetric_pipeline_dynamic_v1.json@sha256:527947788e685e7f8cabf2989eb58aec8fbc8f948ea8e0d1f3640b52893d40e8,a5f4e998b96b440517dc5ce23a88c539879b227c9b2682a590a4a4c8f367d34c
smd_ps_full_naive_512,True,100.8,6001-6030,30,512,drift,9f1159a817be,run,own_transformer_per_model,2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,configs/symmetric_pipeline_dynamic_v1.json@sha256:527947788e685e7f8cabf2989eb58aec8fbc8f948ea8e0d1f3640b52893d40e8,a5f4e998b96b440517dc5ce23a88c539879b227c9b2682a590a4a4c8f367d34c
smd_ps_full_never,True,41.5,6001-6030,30,n/a,n/a,9f1159a817be,run,frozen_initial_transformer,2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,configs/symmetric_pipeline_dynamic_v1.json@sha256:527947788e685e7f8cabf2989eb58aec8fbc8f948ea8e0d1f3640b52893d40e8,a5f4e998b96b440517dc5ce23a88c539879b227c9b2682a590a4a4c8f367d34c
smd_ps_full_point_2000,True,124.5,6001-6030,30,2000,drift,9f1159a817be,run,own_transformer_per_model,2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,configs/symmetric_pipeline_dynamic_v1.json@sha256:527947788e685e7f8cabf2989eb58aec8fbc8f948ea8e0d1f3640b52893d40e8,a5f4e998b96b440517dc5ce23a88c539879b227c9b2682a590a4a4c8f367d34c
smd_ps_full_point_512,True,92.0,6001-6030,30,512,drift,9f1159a817be,run,own_transformer_per_model,2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,configs/symmetric_pipeline_dynamic_v1.json@sha256:527947788e685e7f8cabf2989eb58aec8fbc8f948ea8e0d1f3640b52893d40e8,a5f4e998b96b440517dc5ce23a88c539879b227c9b2682a590a4a4c8f367d34c
smd_ps_full_strict_2000,True,128.8,6001-6030,30,2000,drift,9f1159a817be,run,own_transformer_per_model,2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,configs/symmetric_pipeline_dynamic_v1.json@sha256:527947788e685e7f8cabf2989eb58aec8fbc8f948ea8e0d1f3640b52893d40e8,a5f4e998b96b440517dc5ce23a88c539879b227c9b2682a590a4a4c8f367d34c
smd_ps_full_strict_512,True,103.2,6001-6030,30,512,drift,9f1159a817be,run,own_transformer_per_model,2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,configs/symmetric_pipeline_dynamic_v1.json@sha256:527947788e685e7f8cabf2989eb58aec8fbc8f948ea8e0d1f3640b52893d40e8,a5f4e998b96b440517dc5ce23a88c539879b227c9b2682a590a4a4c8f367d34c
smd_ton_full_naive_2000,True,117.9,6001-6030,30,2000,drift,9f1159a817be,run,own_transformer_per_model,2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,configs/symmetric_pipeline_dynamic_v1.json@sha256:527947788e685e7f8cabf2989eb58aec8fbc8f948ea8e0d1f3640b52893d40e8,7eaf191f82c84d37911deaa278c26f066ac6db229ab501fc1d1e8499f34119a5
smd_ton_full_naive_512,True,86.9,6001-6030,30,512,drift,9f1159a817be,run,own_transformer_per_model,2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,configs/symmetric_pipeline_dynamic_v1.json@sha256:527947788e685e7f8cabf2989eb58aec8fbc8f948ea8e0d1f3640b52893d40e8,7eaf191f82c84d37911deaa278c26f066ac6db229ab501fc1d1e8499f34119a5
smd_ton_full_never,True,34.1,6001-6030,30,n/a,n/a,9f1159a817be,run,frozen_initial_transformer,2ca8f4d3679b034c644ee8131605836c9bc75f59096fe5dd57e9796a96a03ea9,configs/symmetric_pipeline_dynamic_v1.json@sha256:527947788e685e7f8cabf2989eb58aec8fbc8f948ea8e0d1f3640b52893d40e8,7eaf191f82c84d37911deaa278c26f066ac6db229ab501fc1d1e8499f34119a5
