scenario,policy,candidate_size,ba,attack_recall,fpr,attack_f1,d_recall_vs_naive_pp,recall_onesided_lo95,d_fpr_vs_naive_pp,fpr_onesided_hi95,recall_NI_principal,recall_NI_strict,recall_NI_lax,fpr_NI_principal,fpr_NI_strict,fpr_NI_lax
ps_full,naive,512,94.47630208333334,96.96302083333333,8.010416666666668,94.63610823097255,,,,,,,,,,
ps_full,point,512,94.64088541666666,97.10052083333332,7.818750000000002,94.77845001982544,0.1375,-0.1187,-0.1917,0.2464,True,True,True,True,True,True
ps_full,strict,512,94.35833333333333,96.59739583333332,7.880729166666667,94.45203986020645,-0.3656,-1.0094,-0.1297,0.3979,False,False,True,True,False,True
ps_full,naive,2000,95.29869791666665,97.32708333333335,6.729687500000001,95.4018829344347,,,,,,,,,,
ps_full,point,2000,95.44661458333333,97.37552083333334,6.482291666666666,95.52988295541769,0.0484,-0.2083,-0.2474,0.0568,True,True,True,True,True,True
ps_full,strict,2000,95.29817708333336,97.31041666666667,6.7140625,95.38372112208583,-0.0167,-0.3302,-0.0156,0.3234,True,True,True,True,False,True
unsw_full,naive,512,85.48697916666667,96.02708333333335,25.053125000000005,86.93797768560873,,,,,,,,,,
unsw_full,point,512,85.50885416666668,96.02916666666667,25.01145833333333,86.95867528259753,0.0021,-0.2151,-0.0417,0.4078,True,True,True,True,False,True
unsw_full,strict,512,85.45624999999998,96.14114583333333,25.228645833333335,86.9303086000815,0.1141,-0.1104,0.1755,0.6469,True,True,True,False,False,True
unsw_full,naive,2000,87.14869791666668,95.54583333333333,21.2484375,88.19372323770325,,,,,,,,,,
unsw_full,point,2000,87.08645833333333,95.52708333333334,21.354166666666668,88.14230565516037,-0.0187,-0.1036,0.1057,0.3094,True,True,True,True,False,True
unsw_full,strict,2000,86.80989583333333,95.73124999999999,22.111458333333335,87.95215243197678,0.1854,0.0432,0.863,1.2781,True,True,True,False,False,False
ton_full,naive,512,93.23333333333335,95.82864583333334,9.361979166666666,93.45862459397638,,,,,,,,,,
ton_full,point,512,93.69140625,95.67656250000003,8.293750000000001,93.84414319835966,-0.1521,-0.3214,-1.0682,-0.4276,True,True,True,True,True,True
ton_full,strict,512,93.58385416666664,95.07864583333335,7.910937500000001,93.69982876084782,-0.75,-1.0198,-1.451,-0.7729,False,False,True,True,True,True
ton_full,naive,2000,94.23177083333331,96.08229166666666,7.61875,94.37707855771497,,,,,,,,,,
ton_full,point,2000,94.24244791666666,96.00052083333335,7.515625000000001,94.37133399514657,-0.0818,-0.2625,-0.1031,0.0615,True,True,True,True,True,True
ton_full,strict,2000,94.09609375,95.52760416666666,7.335416666666666,94.19466353521109,-0.5547,-0.8026,-0.2833,0.4432,True,False,True,True,False,True
