contrast,margin_pp,margin_kind,ci90_lo,ci90_hi,equivalent
ps_zero: naive-2000 vs never,0.5,primary,-0.0995,0.494,True
ps_zero: naive-2000 vs never,0.2,sensitivity,-0.0995,0.494,False
ps_zero: naive-2000 vs never,1.0,sensitivity,-0.0995,0.494,True
unsw_zero: naive-2000 vs never,0.5,primary,-0.0904,0.0474,True
unsw_zero: naive-2000 vs never,0.2,sensitivity,-0.0904,0.0474,True
unsw_zero: naive-2000 vs never,1.0,sensitivity,-0.0904,0.0474,True
ton_zero: naive-2000 vs never,0.5,primary,-0.0471,0.0289,True
ton_zero: naive-2000 vs never,0.2,sensitivity,-0.0471,0.0289,True
ton_zero: naive-2000 vs never,1.0,sensitivity,-0.0471,0.0289,True
ps_zero: naive-2000 vs naive-512,0.5,primary,1.5958,2.1732,False
ps_zero: naive-2000 vs naive-512,0.2,sensitivity,1.5958,2.1732,False
ps_zero: naive-2000 vs naive-512,1.0,sensitivity,1.5958,2.1732,False
unsw_zero: naive-2000 vs naive-512,0.5,primary,0.55,0.7164,False
unsw_zero: naive-2000 vs naive-512,0.2,sensitivity,0.55,0.7164,False
unsw_zero: naive-2000 vs naive-512,1.0,sensitivity,0.55,0.7164,True
ton_zero: naive-2000 vs naive-512,0.5,primary,0.119,0.3484,True
ton_zero: naive-2000 vs naive-512,0.2,sensitivity,0.119,0.3484,False
ton_zero: naive-2000 vs naive-512,1.0,sensitivity,0.119,0.3484,True
ps_zero: point-2000 vs naive-2000,0.5,primary,0.0073,0.107,True
ps_zero: point-2000 vs naive-2000,0.2,sensitivity,0.0073,0.107,True
ps_zero: point-2000 vs naive-2000,1.0,sensitivity,0.0073,0.107,True
ps_zero: strict-2000 vs naive-2000,0.5,primary,-0.0393,0.3083,True
ps_zero: strict-2000 vs naive-2000,0.2,sensitivity,-0.0393,0.3083,False
ps_zero: strict-2000 vs naive-2000,1.0,sensitivity,-0.0393,0.3083,True
unsw_zero: point-2000 vs naive-2000,0.5,primary,-0.0154,0.031,True
unsw_zero: point-2000 vs naive-2000,0.2,sensitivity,-0.0154,0.031,True
unsw_zero: point-2000 vs naive-2000,1.0,sensitivity,-0.0154,0.031,True
unsw_zero: strict-2000 vs naive-2000,0.5,primary,0.0036,0.1135,True
unsw_zero: strict-2000 vs naive-2000,0.2,sensitivity,0.0036,0.1135,True
unsw_zero: strict-2000 vs naive-2000,1.0,sensitivity,0.0036,0.1135,True
ton_zero: point-2000 vs naive-2000,0.5,primary,0.001,0.0417,True
ton_zero: point-2000 vs naive-2000,0.2,sensitivity,0.001,0.0417,True
ton_zero: point-2000 vs naive-2000,1.0,sensitivity,0.001,0.0417,True
ton_zero: strict-2000 vs naive-2000,0.5,primary,-0.0039,0.0732,True
ton_zero: strict-2000 vs naive-2000,0.2,sensitivity,-0.0039,0.0732,True
ton_zero: strict-2000 vs naive-2000,1.0,sensitivity,-0.0039,0.0732,True
ps_zero: (point-naive)@2000 - (point-naive)@512,0.5,primary,-1.1945,-0.6549,False
ps_zero: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-1.1945,-0.6549,False
ps_zero: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-1.1945,-0.6549,False
ps_zero: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-1.8312,-1.2539,False
ps_zero: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-1.8312,-1.2539,False
ps_zero: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-1.8312,-1.2539,False
unsw_zero: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.2674,-0.1026,True
unsw_zero: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.2674,-0.1026,False
unsw_zero: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.2674,-0.1026,True
unsw_zero: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.5052,-0.3055,False
unsw_zero: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.5052,-0.3055,False
unsw_zero: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.5052,-0.3055,True
ton_zero: (point-naive)@2000 - (point-naive)@512,0.5,primary,-0.1904,-0.0284,True
ton_zero: (point-naive)@2000 - (point-naive)@512,0.2,sensitivity,-0.1904,-0.0284,True
ton_zero: (point-naive)@2000 - (point-naive)@512,1.0,sensitivity,-0.1904,-0.0284,True
ton_zero: (strict-naive)@2000 - (strict-naive)@512,0.5,primary,-0.3182,-0.1031,True
ton_zero: (strict-naive)@2000 - (strict-naive)@512,0.2,sensitivity,-0.3182,-0.1031,False
ton_zero: (strict-naive)@2000 - (strict-naive)@512,1.0,sensitivity,-0.3182,-0.1031,True
