scenario,policy,candidate_size,commits_total,commits_logged,harmful_h1,censored_h1,harmful_rate_h1,harmful_h3,censored_h3,harmful_rate_h3,harmful_h5,censored_h5,harmful_rate_h5,harmful_h10,censored_h10,harmful_rate_h10,caveat
ps_zero,naive,512,111,111,56,5,0.5283,61,10,0.604,61,13,0.6224,61,21,0.6778,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,point,512,56,56,33,1,0.6,36,4,0.6923,30,7,0.6122,33,10,0.7174,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,strict,512,7,7,2,0,0.2857,3,0,0.4286,2,0,0.2857,3,1,0.5,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,naive,2000,111,111,39,5,0.3679,43,10,0.4257,47,13,0.4796,43,21,0.4778,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,point,2000,92,92,30,4,0.3409,34,8,0.4048,37,11,0.4568,33,19,0.4521,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ps_zero,strict,2000,15,15,2,1,0.1429,2,1,0.1429,2,1,0.1429,3,1,0.2143,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,naive,512,111,111,48,5,0.4528,54,10,0.5347,58,13,0.5918,53,21,0.5889,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,point,512,68,68,31,3,0.4769,27,7,0.4426,34,9,0.5763,39,13,0.7091,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,strict,512,20,20,8,0,0.4,13,2,0.7222,14,4,0.875,13,6,0.9286,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,naive,2000,111,111,46,5,0.434,46,10,0.4554,51,13,0.5204,42,21,0.4667,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,point,2000,86,86,33,4,0.4024,36,8,0.4615,40,10,0.5263,31,17,0.4493,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
unsw_zero,strict,2000,21,21,8,0,0.381,2,1,0.1,4,3,0.2222,5,5,0.3125,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,naive,512,111,111,34,5,0.3208,40,10,0.396,45,13,0.4592,48,21,0.5333,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,point,512,94,94,23,5,0.2584,31,8,0.3605,38,11,0.4578,41,16,0.5256,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,strict,512,8,8,4,1,0.5714,3,2,0.5,3,2,0.5,2,2,0.3333,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,naive,2000,111,111,20,5,0.1887,32,10,0.3168,35,13,0.3571,36,21,0.4,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,point,2000,105,105,18,5,0.18,29,9,0.3021,33,11,0.3511,34,19,0.3953,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
ton_zero,strict,2000,2,2,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,"descriptive only; commits cluster within seed -- no independence assumed, no binomial bound derived"
