family,scenario,contrast,effect_pp,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_raw,p_ttest,p_wilcoxon,n_seeds,p_method
F1 size-matched damage,ps_zero,ps_zero: naive-2000 vs never,0.1854,-0.1513,0.5547,-0.0995,0.494,0.3021469785302147,0.32114242802936693,0.46524717918742353,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F1 size-matched damage,unsw_zero,unsw_zero: naive-2000 vs never,-0.0206,-0.1042,0.0609,-0.0904,0.0474,0.6244737552624474,0.6319894986058721,0.7326151575932893,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F1 size-matched damage,ton_zero,ton_zero: naive-2000 vs never,-0.0094,-0.0544,0.0367,-0.0471,0.0289,0.6898131018689813,0.6944927776462391,0.6916846645257797,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F2 candidate-size effect,ps_zero,ps_zero: naive-2000 vs naive-512,1.8883,1.5388,2.226,1.5958,2.1732,9.99990000099999e-06,1.671840862696149e-11,2.1253203734574536e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F2 candidate-size effect,unsw_zero,unsw_zero: naive-2000 vs naive-512,0.6331,0.5336,0.7326,0.55,0.7164,9.99990000099999e-06,5.092658202737942e-13,1.7289484360195754e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F2 candidate-size effect,ton_zero,ton_zero: naive-2000 vs naive-512,0.2279,0.1013,0.3755,0.119,0.3484,0.0023499765002349977,0.0033925550154209278,0.000997317350571958,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value at size 2000,ps_zero,ps_zero: point-2000 vs naive-2000,0.0547,-0.0008,0.1188,0.0073,0.107,0.07258927410725893,0.08804545595273233,0.06403014843302324,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value at size 2000,ps_zero,ps_zero: strict-2000 vs naive-2000,0.1313,-0.0706,0.3443,-0.0393,0.3083,0.21365786342136578,0.234241856608791,0.1944702418645532,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value at size 2000,unsw_zero,unsw_zero: point-2000 vs naive-2000,0.0073,-0.0193,0.0359,-0.0154,0.031,0.6111638883611163,0.6144017631212962,0.6288843908969298,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value at size 2000,unsw_zero,unsw_zero: strict-2000 vs naive-2000,0.0578,-0.0065,0.1245,0.0036,0.1135,0.08416915830841691,0.09964105862562217,0.097974151151109,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value at size 2000,ton_zero,ton_zero: point-2000 vs naive-2000,0.0164,0.0005,0.0445,0.001,0.0417,0.10311896881031189,0.22048674778700725,0.07473549830588248,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value at size 2000,ton_zero,ton_zero: strict-2000 vs naive-2000,0.0339,-0.0104,0.0812,-0.0039,0.0732,0.14713852861471385,0.16380268370388384,0.29579082224304964,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F4 gate x size interaction (secondary),ps_zero,ps_zero: (point-naive)@2000 - (point-naive)@512,-0.9174,-1.2508,-0.6094,-1.1945,-0.6549,9.99990000099999e-06,6.277661705731361e-06,3.986255838258406e-05,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F4 gate x size interaction (secondary),ps_zero,ps_zero: (strict-naive)@2000 - (strict-naive)@512,-1.5427,-1.8862,-1.2013,-1.8312,-1.2539,9.99990000099999e-06,1.517747676996355e-09,1.30385160446167e-08,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F4 gate x size interaction (secondary),unsw_zero,unsw_zero: (point-naive)@2000 - (point-naive)@512,-0.1813,-0.2872,-0.0888,-0.2674,-0.1026,0.0008299917000829991,0.001415660283257196,0.0006969741190546868,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F4 gate x size interaction (secondary),unsw_zero,unsw_zero: (strict-naive)@2000 - (strict-naive)@512,-0.4062,-0.525,-0.2859,-0.5052,-0.3055,9.99990000099999e-06,3.4311322386196444e-07,2.0638259127346436e-05,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F4 gate x size interaction (secondary),ton_zero,ton_zero: (point-naive)@2000 - (point-naive)@512,-0.1003,-0.212,-0.0193,-0.1904,-0.0284,0.04005959940400596,0.058069329188574145,0.0412768389481978,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F4 gate x size interaction (secondary),ton_zero,ton_zero: (strict-naive)@2000 - (strict-naive)@512,-0.2042,-0.3422,-0.0878,-0.3182,-0.1031,0.002749972500274997,0.004631091681190472,0.0010727713849213894,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
