family,scenario,contrast,effect_pp,ci95_lo,ci95_hi,ci90_lo,ci90_hi,p_raw,p_ttest,p_wilcoxon,n_seeds,p_method
F1 harm under own-transformer (full),ps_full,ps_full: own-naive vs never,7.2122,4.8862,9.5227,5.2565,9.1573,9.99990000099999e-06,1.667654544173321e-06,1.3966113328933716e-05,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F1 harm under own-transformer (full),unsw_full,unsw_full: own-naive vs never,2.5461,2.3375,2.7549,2.3703,2.7224,9.99990000099999e-06,2.033423731588245e-20,1.733306644199106e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F1 harm under own-transformer (full),ton_full,ton_full: own-naive vs never,1.0289,0.5544,1.526,0.6289,1.4393,4.999950000499995e-05,0.00031689576165399387,0.0003800932317972183,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F2 transformer interaction on naive (full),ps_full,ps_full: own-naive vs frozen-naive,0.9026,0.2607,1.7471,0.3372,1.5888,0.019479805201947982,0.028321723463012444,0.011739214762558327,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F2 transformer interaction on naive (full),unsw_full,unsw_full: own-naive vs frozen-naive,1.1518,0.9521,1.3508,0.9849,1.3188,9.99990000099999e-06,5.463366724427048e-12,1.919722783767457e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F2 transformer interaction on naive (full),ton_full,ton_full: own-naive vs frozen-naive,5.9779,3.8229,8.257,4.1505,7.8964,9.99990000099999e-06,1.5959544753565642e-05,2.348795533180237e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value under own-transformer (full),ps_full,ps_full: own-point vs own-naive,0.1922,-0.057,0.4091,-0.0109,0.3773,0.10176898231017689,0.1212793833316591,0.024038625508193585,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value under own-transformer (full),ps_full,ps_full: own-strict vs own-naive,0.0492,-0.3266,0.4107,-0.2654,0.3549,0.7928720712792872,0.7989814515153181,0.705128996462832,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value under own-transformer (full),unsw_full,unsw_full: own-point vs own-naive,-0.2078,-0.3638,-0.0612,-0.3383,-0.0839,0.007589924100758993,0.012970660943344071,0.013870680857770913,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value under own-transformer (full),unsw_full,unsw_full: own-strict vs own-naive,-0.1464,-0.3471,0.0484,-0.3138,0.0177,0.14676853231467685,0.16283560042290207,0.17417784820019144,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value under own-transformer (full),ton_full,ton_full: own-point vs own-naive,0.6411,0.257,1.0596,0.3146,0.9893,0.0024499755002449974,0.004715113481936305,0.0014710997703089304,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F3 gate value under own-transformer (full),ton_full,ton_full: own-strict vs own-naive,0.1768,-0.3112,0.6732,-0.2326,0.5935,0.4822951770482295,0.494816288677009,0.6508977072835631,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F4 zero-drift secondary,ps_zero,ps_zero: own-naive vs never,-1.7385,-2.35,-0.9638,-2.2708,-1.1078,7.999920000799993e-05,4.509485090490871e-05,3.453157842159271e-05,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F4 zero-drift secondary,unsw_zero,unsw_zero: own-naive vs never,-0.6547,-0.7654,-0.5484,-0.7469,-0.5648,9.99990000099999e-06,1.9641787720362546e-12,1.733306644199106e-06,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F4 zero-drift secondary,ton_zero,ton_zero: own-naive vs never,-0.381,-0.5286,-0.2492,-0.5039,-0.269,9.99990000099999e-06,1.38298818309495e-05,1.359397478992296e-05,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
F4 zero-drift secondary,ps_zero,ps_zero: own-point vs own-naive,0.7534,0.4055,1.1591,0.457,1.0854,0.0003699963000369996,0.0005838590826822935,0.00025021619831076065,30,"deterministic centered paired bootstrap test (100000 resamples, Monte-Carlo corrected, per-contrast seed base 20260721)"
