arm,complete,duration_s,seeds,n_seeds,source_commit,mode,transformer_policy,detector_transform_policy,protocol_commit,raw_stream_hashes_sha256
sp_ps_full_naive_froz,True,109.2,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,4c32df5cc9e1b39f80eb0965af940e08aae436a13dcee1475d8ee015fafc4635
sp_ps_full_naive_own,True,107.8,3001-3030,30,a33837f77777,run,own_transformer_per_model,frozen_initial,88385660edd8,4c32df5cc9e1b39f80eb0965af940e08aae436a13dcee1475d8ee015fafc4635
sp_ps_full_never,True,43.4,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,4c32df5cc9e1b39f80eb0965af940e08aae436a13dcee1475d8ee015fafc4635
sp_ps_full_point_froz,True,112.5,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,4c32df5cc9e1b39f80eb0965af940e08aae436a13dcee1475d8ee015fafc4635
sp_ps_full_point_own,True,113.0,3001-3030,30,a33837f77777,run,own_transformer_per_model,frozen_initial,88385660edd8,4c32df5cc9e1b39f80eb0965af940e08aae436a13dcee1475d8ee015fafc4635
sp_ps_full_strict_froz,True,122.4,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,4c32df5cc9e1b39f80eb0965af940e08aae436a13dcee1475d8ee015fafc4635
sp_ps_full_strict_own,True,117.3,3001-3030,30,a33837f77777,run,own_transformer_per_model,frozen_initial,88385660edd8,4c32df5cc9e1b39f80eb0965af940e08aae436a13dcee1475d8ee015fafc4635
sp_ps_zero_naive_froz,True,113.9,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,54c6c2a6edf4dc7505757bed2774fd373227b488c50dc4a6e2674f9ec9467ec1
sp_ps_zero_naive_own,True,113.9,3001-3030,30,a33837f77777,run,own_transformer_per_model,frozen_initial,88385660edd8,54c6c2a6edf4dc7505757bed2774fd373227b488c50dc4a6e2674f9ec9467ec1
sp_ps_zero_never,True,43.4,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,54c6c2a6edf4dc7505757bed2774fd373227b488c50dc4a6e2674f9ec9467ec1
sp_ps_zero_point_froz,True,120.5,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,54c6c2a6edf4dc7505757bed2774fd373227b488c50dc4a6e2674f9ec9467ec1
sp_ps_zero_point_own,True,117.3,3001-3030,30,a33837f77777,run,own_transformer_per_model,frozen_initial,88385660edd8,54c6c2a6edf4dc7505757bed2774fd373227b488c50dc4a6e2674f9ec9467ec1
sp_ps_zero_strict_froz,True,129.6,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,54c6c2a6edf4dc7505757bed2774fd373227b488c50dc4a6e2674f9ec9467ec1
sp_ps_zero_strict_own,True,126.3,3001-3030,30,a33837f77777,run,own_transformer_per_model,frozen_initial,88385660edd8,54c6c2a6edf4dc7505757bed2774fd373227b488c50dc4a6e2674f9ec9467ec1
sp_ton_full_naive_froz,True,117.6,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,e691dd9943f5fbd3739fe9f37f97b3456440967cb1a39e2060cf330b57da9f5f
sp_ton_full_naive_own,True,105.0,3001-3030,30,a33837f77777,run,own_transformer_per_model,frozen_initial,88385660edd8,e691dd9943f5fbd3739fe9f37f97b3456440967cb1a39e2060cf330b57da9f5f
sp_ton_full_never,True,41.4,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,e691dd9943f5fbd3739fe9f37f97b3456440967cb1a39e2060cf330b57da9f5f
sp_ton_full_point_froz,True,118.0,3001-3030,30,a33837f77777,run,frozen_initial_transformer,frozen_initial,88385660edd8,e691dd9943f5fbd3739fe9f37f97b3456440967cb1a39e2060cf330b57da9f5f
sp_ton_full_point_own,True,109.7,3001-3030,30,a33837f77777,run,own_transformer_per_model,frozen_initial,88385660edd8,e691dd9943f5fbd3739fe9f37f97b3456440967cb1a39e2060cf330b57da9f5f
